Admin1,Admin2,pop2015_total,pop2015_men,pop2015_women,pop2020_total,pop2020_men,pop2020_women
Seoul,Jongno-gu,161521,79510,82011,151291,73062,78229
Seoul,Jung-gu,128478,63218,65260,128744,62147,66597
Seoul,Yongsan-gu,227282,109980,117302,225882,109162,116720
Seoul,Seongdong-gu,295006,146332,148674,291918,142128,149790
Seoul,Gwangjin-gu,368199,180647,187552,353967,169925,184042
Seoul,Dongdaemun-gu,364787,181189,183598,351057,171484,179573
Seoul,Jungnang-gu,403237,199936,203301,385663,189537,196126
Seoul,Seongbuk-gu,456844,221861,234983,438833,209682,229151
Seoul,Gangbuk-gu,319992,156386,163606,299535,144779,154756
Seoul,Dobong-gu,340095,166187,173908,315979,153080,162899
Seoul,Nowon-gu,562996,274128,288868,511982,246317,265665
Seoul,Eunpyeong-gu,478374,232709,245665,463102,221828,241274
Seoul,Seodaemun-gu,308768,147956,160812,317209,148696,168513
Seoul,Mapo-gu,381330,182657,198673,365612,171161,194451
Seoul,Yangcheon-gu,465512,229878,235634,439068,214978,224090
Seoul,Gangseo-gu,570507,278270,292237,564854,271779,293075
Seoul,Guro-gu,444832,222985,221847,435442,216855,218587
Seoul,Geumcheon-gu,250690,128036,122654,249419,126490,122929
Seoul,Yeongdeungpo-gu,406528,203801,202727,403619,200678,202941
Seoul,Dongjak-gu,407894,200602,207292,392772,189611,203161
Seoul,Gwanak-gu,519622,261967,257655,502641,250850,251791
Seoul,Seocho-gu,420804,201841,218963,401749,192081,209668
Seoul,Gangnam-gu,541688,259526,282162,508135,243322,264813
Seoul,Songpa-gu,634941,309336,325605,643288,309802,333486
Seoul,Gangdong-gu,444385,220597,223788,444434,218299,226135
Busan,Jung-gu,45377,22483,22894,41439,20420,21019
Busan,Seo-gu,111996,54966,57030,105303,51131,54172
Busan,Dong-gu,89202,43693,45509,87246,42455,44791
Busan,Yeongdo-gu,129515,65271,64244,113224,56614,56610
Busan,Busanjin-gu,376321,182765,193556,351403,168641,182762
Busan,Dongnae-gu,262154,128417,133737,263345,127745,135600
Busan,Nam-gu,283741,139889,143852,269111,131685,137426
Busan,Buk-gu,299182,148380,150802,280177,138111,142066
Busan,Haeundae-gu,409037,199004,210033,389535,187806,201729
Busan,Saha-gu,334762,167470,167292,312057,155311,156746
Busan,Geumjeong-gu,249444,122287,127157,237219,115300,121919
Busan,Gangseo-gu,92628,49588,43040,136734,72095,64639
Busan,Yeonje-gu,203527,99356,104171,204947,98187,106760
Busan,Suyeong-gu,173069,82744,90325,171461,80701,90760
Busan,Sasang-gu,240709,121853,118856,216350,108761,107589
Busan,Gijang-gun,148073,73181,74892,169465,83788,85677
Daegu,Jung-gu,78334,38087,40247,74278,35692,38586
Daegu,Dong-gu,339608,168319,171289,333294,163476,169818
Daegu,Seo-gu,202963,102410,100553,170437,84983,85454
Daegu,Nam-gu,160164,77484,82680,145588,69569,76019
Daegu,Buk-gu,450579,226389,224190,446466,222464,224002
Daegu,Suseong-gu,437328,214012,223316,412912,200040,212872
Daegu,Dalseo-gu,607224,303973,303251,566712,280919,285793
Daegu,Dalseong-gun,189852,97837,92015,261013,133128,127885
Incheon,Jung-gu,112910,58048,54862,138586,71310,67276
