adm,adm10,adm_2023,adm10_2023,adm_2024,adm10_2024,name,name_sido,name_eng,level,sgis_1998,sgis_1999,sgis_2000,sgis_2001,sgis_2002,sgis_2003,sgis_2004,sgis_2005,sgis_2006,sgis_2007,sgis_2008,sgis_2009,sgis_2010,sgis_2011,sgis_2012,sgis_2013,sgis_2014,sgis_2015,sgis_2016,sgis_2017,sgis_2018,sgis_2019,sgis_2020,sgis_2021,sgis_2022_old,sgis_2022,sgis_2023,sgis_2024
11,1100000000,11,1100000000,11,1100000000,서울특별시,Seoul,Seoul,Province,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,11000000,11000000,11000000
11110,1111000000,11110,1111000000,11110,1111000000,종로구,Seoul,Jongno-gu,District,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,11010000,11010000,11010000
1111051000,1111051000,1111051000,1111051000,1111051000,1111051000,청운동,Seoul,Cheongun-dong,Neighborhood,1101051,1101051,1101051,1101051,1101051,1101051,1101051,1101051,1101051,1101051,,,,,,,,,,,,,,,,,,
1111051500,1111051500,1111051500,1111051500,1111051500,1111051500,청운효자동,Seoul,Cheongunhyoja-dong,Neighborhood,,,,,,,,,,,1101072,1101072,1101072,1101072,1101072,1101072,1101072,1101072,1101072,1101072,1101072,1101072,1101072,1101072,1101072,11010720,11010720,11010720
1111052000,1111052000,1111052000,1111052000,1111052000,1111052000,효자동,Seoul,Hyoja-dong,Neighborhood,1101052,1101052,1101052,1101052,1101052,1101052,1101052,1101052,1101052,1101052,,,,,,,,,,,,,,,,,,
1111053000,1111053000,1111053000,1111053000,1111053000,1111053000,사직동,Seoul,Sajik-dong,Neighborhood,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,1101053,11010530,11010530,11010530
1111054000,1111054000,1111054000,1111054000,1111054000,1111054000,삼청동,Seoul,Samcheong-dong,Neighborhood,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,1101054,11010540,11010540,11010540
1111055000,1111055000,1111055000,1111055000,1111055000,1111055000,부암동,Seoul,Buam-dong,Neighborhood,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,1101055,11010550,11010550,11010550
1111056000,1111056000,1111056000,1111056000,1111056000,1111056000,평창동,Seoul,Pyeongchang-dong,Neighborhood,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,1101056,11010560,11010560,11010560
1111057000,1111057000,1111057000,1111057000,1111057000,1111057000,무악동,Seoul,Muak-dong,Neighborhood,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,1101057,11010570,11010570,11010570
1111058000,1111058000,1111058000,1111058000,1111058000,1111058000,교남동,Seoul,Gyonam-dong,Neighborhood,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,1101058,11010580,11010580,11010580
1111060000,1111060000,1111060000,1111060000,1111060000,1111060000,가회동,Seoul,Gahoe-dong,Neighborhood,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,1101060,11010600,11010600,11010600
1111061500,1111061500,1111061500,1111061500,1111061500,1111061500,종로1.2.3.4가동,Seoul,Jongno1.2.3.4ga-dong,Neighborhood,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,1101061,11010610,11010610,11010610
1111063000,1111063000,1111063000,1111063000,1111063000,1111063000,종로5.6가동,Seoul,Jongno5.6ga-dong,Neighborhood,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,1101063,11010630,11010630,11010630
1111064000,1111064000,1111064000,1111064000,1111064000,1111064000,이화동,Seoul,Ewha-dong,Neighborhood,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,1101064,11010640,11010640,11010640
1111065000,1111065000,1111065000,1111065000,1111065000,1111065000,혜화동,Seoul,Hyehwa-dong,Neighborhood,1101065,1101065,1101065,1101065,1101065,1101065,1101065,1101065,1101065,1101065,1101065,1101065,1101065,1101065,1101065,1101073,1101073,1101073,1101073,1101073,1101073,1101073,1101073,1101073,1101073,11010730,11010730,11010730
1111066000,1111066000,1111066000,1111066000,1111066000,1111066000,명륜3가동,Seoul,Myeongnyun3-ga-dong,Neighborhood,1101066,1101066,1101066,1101066,1101066,1101066,1101066,1101066,1101066,1101066,1101066,1101066,1101066,1101066,,,,,,,,,,,,,,
1111067000,1111067000,1111067000,1111067000,1111067000,1111067000,창신제1동,Seoul,Changsin1-dong,Neighborhood,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,1101067,11010670,11010670,11010670
