"","name","name_sido","name_eng","code"
"1","남구","Incheon","Nam-gu",23030
"2","부천시 원미구","Gyeonggi-do","Wonmi-gu",31051
"3","부천시 소사구","Gyeonggi-do","Sosa-gu",31052
"4","부천시 오정구","Gyeonggi-do","Ojeong-gu",31053
"5","고양시 일산구","Gyeonggi-do","Ilsan-gu",31102
"6","양주군","Gyeonggi-do","Yangju-gun",31310
"7","여주군","Gyeonggi-do","Yeoju-gun",31320
"8","화성군","Gyeonggi-do","Hwaseong-gun",31330
"9","광주군","Gyeonggi-do","Gwangju-gun",31340
"10","포천군","Gyeonggi-do","Pocheon-gun",31360
"11","청원군","Chungcheongbuk-do","Cheongwon-gun",33310
"12","연기군","Chungcheongnam-do","Yeongi-gun",34320
"13","당진군","Chungcheongnam-do","Dangjin-gun",34390
"14","창원시","Gyeongsangnam-do","Changwon-si",38010
"15","마산시","Gyeongsangnam-do","Masan-si",38020
"16","진해시","Gyeongsangnam-do","Jinhae-si",38040
"17","제주시","Jeju-do","Jeju-si",39010
"18","서귀포시","Jeju-do","Seogwipo-si",39020
"19","북제주군","Jeju-do","Bukjeju-gun",39310
"20","남제주군","Jeju-do","Namjeju-gun",39320
"21","기장군","Busan","Gijang-gun",21310
"22","기장군","Busan","Gijang-gun",21510
"23","달성군","Daegu","Dalseong-gun",22310
"24","달성군","Daegu","Dalseong-gun",22510
"25","강화군","Incheon","Ganghwa-gun",23310
"26","강화군","Incheon","Ganghwa-gun",23510
"27","옹진군","Incheon","Ongjin-gun",23320
"28","옹진군","Incheon","Ongjin-gun",23520
"29","울주군","Ulsan","Ulju-gun",26310
"30","울주군","Ulsan","Ulju-gun",26510
"31","성남시","Gyeonggi-do","Seongnam-si",31020
"32","성남시","Gyeonggi-do","Seongnam-si",31021
"33","연천군","Gyeonggi-do","Yeoncheon-gun",31350
"34","연천군","Gyeonggi-do","Yeoncheon-gun",31550
"35","가평군","Gyeonggi-do","Gapyeong-gun",31370
"36","가평군","Gyeonggi-do","Gapyeong-gun",31570
"37","양평군","Gyeonggi-do","Yangpyeong-gun",31380
"38","양평군","Gyeonggi-do","Yangpyeong-gun",31580
"39","홍천군","Gangwon-do","Hongcheon-gun",32310
"40","홍천군","Gangwon-do","Hongcheon-gun",32510
"41","횡성군","Gangwon-do","Hoengseong-gun",32320
"42","횡성군","Gangwon-do","Hoengseong-gun",32520
"43","영월군","Gangwon-do","Yeongwol-gun",32330
"44","영월군","Gangwon-do","Yeongwol-gun",32530
"45","평창군","Gangwon-do","Pyeongchang-gun",32340
"46","평창군","Gangwon-do","Pyeongchang-gun",32540
"47","정선군","Gangwon-do","Jeongseon-gun",32350
"48","정선군","Gangwon-do","Jeongseon-gun",32550
"49","철원군","Gangwon-do","Cheolwon-gun",32360
"50","철원군","Gangwon-do","Cheolwon-gun",32560
"51","화천군","Gangwon-do","Hwacheon-gun",32370
"52","화천군","Gangwon-do","Hwacheon-gun",32570
"53","양구군","Gangwon-do","Yanggu-gun",32380
"54","양구군","Gangwon-do","Yanggu-gun",32580
"55","인제군","Gangwon-do","Inje-gun",32390
"56","인제군","Gangwon-do","Inje-gun",32590
"57","고성군","Gangwon-do","Goseong-gun",32400
"58","고성군","Gangwon-do","Goseong-gun",32600
"59","양양군","Gangwon-do","Yangyang-gun",32410
"60","양양군","Gangwon-do","Yangyang-gun",32610
"61","청주시","Chungcheongbuk-do","Cheongju-si",33010
"62","청주시","Chungcheongbuk-do","Cheongju-si",33040
"63","청주시 상당구","Chungcheongbuk-do","Sangdang-gu",33011
"64","청주시 상당구","Chungcheongbuk-do","Sangdang-gu",33041
"65","청주시 흥덕구","Chungcheongbuk-do","Heungdeok-gu",33012
"66","청주시 흥덕구","Chungcheongbuk-do","Heungdeok-gu",33043
"67","보은군","Chungcheongbuk-do","Boeun-gun",33320
"68","보은군","Chungcheongbuk-do","Boeun-gun",33520
"69","옥천군","Chungcheongbuk-do","Okcheon-gun",33330
"70","옥천군","Chungcheongbuk-do","Okcheon-gun",33530
"71","영동군","Chungcheongbuk-do","Yeongdong-gun",33340
"72","영동군","Chungcheongbuk-do","Yeongdong-gun",33540
