year,adm1,adm1_code,adm2,adm2_code,adm3,adm3_code,type,class1,class2,unit,value
2010,Chungcheongbuk-do,33,Cheongju-si,33010,NA,NA,population,all households,total,persons,646939
2010,Chungcheongbuk-do,33,Cheongju-si,33010,NA,NA,population,all households,male,persons,318355
2010,Chungcheongbuk-do,33,Cheongju-si,33010,NA,NA,population,all households,female,persons,328584
2020,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,tax,income,general,million KRW,524478
2020,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,tax,income,labor,million KRW,598560
2015,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,population,all households,total,persons,797099
2015,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,population,all households,male,persons,394605
2015,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,population,all households,female,persons,402494
2020,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,population,all households,total,persons,827261
2020,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,population,all households,male,persons,413658
2020,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,population,all households,female,persons,413603
2020,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,mortality,All causes,total,per 100k population,312.3
2020,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,mortality,All causes,male,per 100k population,418.5
2020,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,mortality,All causes,female,per 100k population,225.4
2015,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,economy,company,total,count,58341
2020,Chungcheongbuk-do,33,Cheongju-si,33040,NA,NA,economy,company,total,count,91570
2020,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,tax,income,general,million KRW,511559
2020,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,tax,income,labor,million KRW,546710
2010,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,population,all households,total,persons,565959
2010,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,population,all households,male,persons,286860
2010,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,population,all households,female,persons,279099
2015,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,population,all households,total,persons,594723
2015,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,population,all households,male,persons,299570
2015,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,population,all households,female,persons,295153
2020,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,population,all households,total,persons,656788
2020,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,population,all households,male,persons,331740
2020,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,population,all households,female,persons,325048
2020,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,mortality,All causes,total,per 100k population,320.6
2020,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,mortality,All causes,male,per 100k population,434.5
2020,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,mortality,All causes,female,per 100k population,224.3
2020,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,economy,company,total,count,73365
2010,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,economy,company,total,count,36095
2015,Chungcheongnam-do,34,Cheonan-si,34010,NA,NA,economy,company,total,count,46226
2020,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,tax,income,general,million KRW,309010
2020,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,tax,income,labor,million KRW,665710
2010,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,population,all households,total,persons,494306
2010,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,population,all households,male,persons,246580
2010,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,population,all households,female,persons,247726
2015,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,population,all households,total,persons,493266
2015,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,population,all households,male,persons,245147
2015,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,population,all households,female,persons,248119
2020,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,population,all households,total,persons,484021
2020,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,population,all households,male,persons,243358
2020,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,population,all households,female,persons,240663
2020,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,mortality,All causes,total,per 100k population,317.5
2020,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,mortality,All causes,male,per 100k population,426.6
2020,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,mortality,All causes,female,per 100k population,225.7
2020,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,economy,company,total,count,58581
2010,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,economy,company,total,count,36052
2015,Gyeongsangbuk-do,37,Pohang-si,37010,NA,NA,economy,company,total,count,40356
2020,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,tax,income,general,million KRW,707124
2020,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,tax,income,labor,million KRW,899025
2010,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,population,all households,total,persons,1024653
2010,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,population,all households,male,persons,511747
2010,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,population,all households,female,persons,512906
2015,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,population,all households,total,persons,1015936
2015,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,population,all households,male,persons,507689
2015,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,population,all households,female,persons,508247
2020,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,population,all households,total,persons,993780
2020,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,population,all households,male,persons,498999
2020,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,population,all households,female,persons,494781
2020,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,mortality,All causes,total,per 100k population,322.9
2020,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,mortality,All causes,male,per 100k population,436.6
2020,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,mortality,All causes,female,per 100k population,232
2010,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,economy,company,total,count,73132
2015,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,economy,company,total,count,83187
2020,Gyeongsangnam-do,38,Changwon-si,38110,NA,NA,economy,company,total,count,114518
2020,Jeollabuk-do,35,Jeonju-si,35010,NA,NA,tax,income,general,million KRW,450263
2020,Jeollabuk-do,35,Jeonju-si,35010,NA,NA,tax,income,labor,million KRW,320014
2010,Jeollabuk-do,35,Jeonju-si,35010,NA,NA,population,all households,total,persons,628421
2010,Jeollabuk-do,35,Jeonju-si,35010,NA,NA,population,all households,male,persons,305161
2010,Jeollabuk-do,35,Jeonju-si,35010,NA,NA,population,all households,female,persons,323260
