"sggcd","type","class1","class2","unit","value","year"
"110001","medicine","doctors","total","persons",2860,2010
"110001","medicine","doctors","internal medicine","persons",439,2010
"110001","medicine","doctors","neurology","persons",41,2010
"110001","medicine","doctors","psychiatry","persons",94,2010
"110001","medicine","doctors","surgery","persons",161,2010
"110001","medicine","doctors","orthopedics","persons",109,2010
"110001","medicine","doctors","neurosurgery","persons",88,2010
"110001","medicine","doctors","thoracic and cardiovascular surgery","persons",46,2010
"110001","medicine","doctors","plastic surgery","persons",369,2010
"110001","medicine","doctors","anesthesiology and pain medicine","persons",157,2010
"110001","medicine","doctors","obstetrics and gynecology","persons",238,2010
"110001","medicine","doctors","pediatrics","persons",100,2010
"110001","medicine","doctors","ophthalmology","persons",130,2010
"110001","medicine","doctors","otorhinolaryngology","persons",110,2010
"110001","medicine","doctors","dermatology","persons",160,2010
"110001","medicine","doctors","urology","persons",95,2010
"110001","medicine","doctors","radiology","persons",191,2010
"110001","medicine","doctors","radiation oncology","persons",13,2010
"110001","medicine","doctors","pathology","persons",49,2010
"110001","medicine","doctors","clinical laboratory medicine","persons",33,2010
"110001","medicine","doctors","tuberculosis","persons",1,2010
"110001","medicine","doctors","rehabilitation medicine","persons",38,2010
"110001","medicine","doctors","nuclear medicine","persons",5,2010
"110001","medicine","doctors","family medicine","persons",164,2010
"110001","medicine","doctors","emergency medicine","persons",23,2010
"110001","medicine","doctors","occupational and environmental medicine","persons",2,2010
"110001","medicine","doctors","preventive medicine","persons",4,2010
"110002","medicine","doctors","total","persons",778,2010
"110002","medicine","doctors","internal medicine","persons",166,2010
"110002","medicine","doctors","neurology","persons",22,2010
"110002","medicine","doctors","psychiatry","persons",25,2010
"110002","medicine","doctors","surgery","persons",51,2010
"110002","medicine","doctors","orthopedics","persons",61,2010
"110002","medicine","doctors","neurosurgery","persons",27,2010
"110002","medicine","doctors","thoracic and cardiovascular surgery","persons",8,2010
"110002","medicine","doctors","plastic surgery","persons",7,2010
"110002","medicine","doctors","anesthesiology and pain medicine","persons",34,2010
"110002","medicine","doctors","obstetrics and gynecology","persons",63,2010
"110002","medicine","doctors","pediatrics","persons",53,2010
"110002","medicine","doctors","ophthalmology","persons",39,2010
"110002","medicine","doctors","otorhinolaryngology","persons",43,2010
"110002","medicine","doctors","dermatology","persons",27,2010
"110002","medicine","doctors","urology","persons",26,2010
"110002","medicine","doctors","radiology","persons",34,2010
"110002","medicine","doctors","radiation oncology","persons",3,2010
"110002","medicine","doctors","pathology","persons",8,2010
"110002","medicine","doctors","clinical laboratory medicine","persons",13,2010
"110002","medicine","doctors","tuberculosis","persons",0,2010
"110002","medicine","doctors","rehabilitation medicine","persons",24,2010
"110002","medicine","doctors","nuclear medicine","persons",2,2010
"110002","medicine","doctors","family medicine","persons",34,2010
"110002","medicine","doctors","emergency medicine","persons",7,2010
"110002","medicine","doctors","occupational and environmental medicine","persons",0,2010
"110002","medicine","doctors","preventive medicine","persons",1,2010
"110003","medicine","doctors","total","persons",551,2010
"110003","medicine","doctors","internal medicine","persons",87,2010
"110003","medicine","doctors","neurology","persons",3,2010
"110003","medicine","doctors","psychiatry","persons",15,2010
"110003","medicine","doctors","surgery","persons",25,2010
"110003","medicine","doctors","orthopedics","persons",48,2010
"110003","medicine","doctors","neurosurgery","persons",21,2010
"110003","medicine","doctors","thoracic and cardiovascular surgery","persons",4,2010
"110003","medicine","doctors","plastic surgery","persons",5,2010
"110003","medicine","doctors","anesthesiology and pain medicine","persons",27,2010
"110003","medicine","doctors","obstetrics and gynecology","persons",71,2010
"110003","medicine","doctors","pediatrics","persons",47,2010
"110003","medicine","doctors","ophthalmology","persons",26,2010
"110003","medicine","doctors","otorhinolaryngology","persons",34,2010
"110003","medicine","doctors","dermatology","persons",15,2010
"110003","medicine","doctors","urology","persons",17,2010
"110003","medicine","doctors","radiology","persons",23,2010
"110003","medicine","doctors","radiation oncology","persons",2,2010
"110003","medicine","doctors","pathology","persons",5,2010
"110003","medicine","doctors","clinical laboratory medicine","persons",2,2010
"110003","medicine","doctors","tuberculosis","persons",0,2010
"110003","medicine","doctors","rehabilitation medicine","persons",13,2010
"110003","medicine","doctors","nuclear medicine","persons",0,2010
"110003","medicine","doctors","family medicine","persons",59,2010
"110003","medicine","doctors","emergency medicine","persons",1,2010
"110003","medicine","doctors","occupational and environmental medicine","persons",0,2010
"110003","medicine","doctors","preventive medicine","persons",1,2010
"110004","medicine","doctors","total","persons",401,2010
"110004","medicine","doctors","internal medicine","persons",61,2010
"110004","medicine","doctors","neurology","persons",5,2010
"110004","medicine","doctors","psychiatry","persons",11,2010
"110004","medicine","doctors","surgery","persons",33,2010
"110004","medicine","doctors","orthopedics","persons",40,2010
"110004","medicine","doctors","neurosurgery","persons",6,2010
"110004","medicine","doctors","thoracic and cardiovascular surgery","persons",3,2010
"110004","medicine","doctors","plastic surgery","persons",2,2010
"110004","medicine","doctors","anesthesiology and pain medicine","persons",14,2010
"110004","medicine","doctors","obstetrics and gynecology","persons",52,2010
"110004","medicine","doctors","pediatrics","persons",36,2010
"110004","medicine","doctors","ophthalmology","persons",18,2010
"110004","medicine","doctors","otorhinolaryngology","persons",24,2010
