"year","adm1","adm2","adm2_code","type","class1","class2","unit","value"
2015,"Seoul","Jongno-gu",11010,"economy","company","total","count","40871"
2020,"Seoul","Jongno-gu",11010,"economy","company","total","count","50531"
2010,"Seoul","Jongno-gu",11010,"economy","company","total","count","37636"
2010,"Seoul","Jung-gu",11020,"economy","company","total","count","57916"
2015,"Seoul","Jung-gu",11020,"economy","company","total","count","66190"
2020,"Seoul","Jung-gu",11020,"economy","company","total","count","76129"
2010,"Seoul","Yongsan-gu",11030,"economy","company","total","count","18966"
2020,"Seoul","Yongsan-gu",11030,"economy","company","total","count","31507"
2015,"Seoul","Yongsan-gu",11030,"economy","company","total","count","21178"
2015,"Seoul","Seongdong-gu",11040,"economy","company","total","count","26130"
2020,"Seoul","Seongdong-gu",11040,"economy","company","total","count","41582"
2010,"Seoul","Seongdong-gu",11040,"economy","company","total","count","23148"
2020,"Seoul","Gwangjin-gu",11050,"economy","company","total","count","35423"
2015,"Seoul","Gwangjin-gu",11050,"economy","company","total","count","24531"
2010,"Seoul","Gwangjin-gu",11050,"economy","company","total","count","23791"
2010,"Seoul","Dongdaemun-gu",11060,"economy","company","total","count","29671"
2020,"Seoul","Dongdaemun-gu",11060,"economy","company","total","count","43029"
2015,"Seoul","Dongdaemun-gu",11060,"economy","company","total","count","32994"
2015,"Seoul","Jungnang-gu",11070,"economy","company","total","count","27287"
2020,"Seoul","Jungnang-gu",11070,"economy","company","total","count","38558"
2010,"Seoul","Jungnang-gu",11070,"economy","company","total","count","26526"
2010,"Seoul","Seongbuk-gu",11080,"economy","company","total","count","23593"
2020,"Seoul","Seongbuk-gu",11080,"economy","company","total","count","34420"
2015,"Seoul","Seongbuk-gu",11080,"economy","company","total","count","24690"
2020,"Seoul","Gangbuk-gu",11090,"economy","company","total","count","26711"
2015,"Seoul","Gangbuk-gu",11090,"economy","company","total","count","18654"
2010,"Seoul","Gangbuk-gu",11090,"economy","company","total","count","19256"
2020,"Seoul","Dobong-gu",11100,"economy","company","total","count","25607"
2015,"Seoul","Dobong-gu",11100,"economy","company","total","count","18455"
2010,"Seoul","Dobong-gu",11100,"economy","company","total","count","17498"
2015,"Seoul","Nowon-gu",11110,"economy","company","total","count","25827"
2010,"Seoul","Nowon-gu",11110,"economy","company","total","count","24491"
2020,"Seoul","Nowon-gu",11110,"economy","company","total","count","37442"
2015,"Seoul","Eunpyeong-gu",11120,"economy","company","total","count","24179"
