"sggcd","year","type","class1","class2","unit","value"
"11010",2010,"population","fertility","total","births",0.837
"11010",2015,"population","fertility","total","births",0.813
"11010",2020,"population","fertility","total","births",0.522
"11020",2010,"population","fertility","total","births",1.055
"11020",2015,"population","fertility","total","births",0.946
"11020",2020,"population","fertility","total","births",0.688
"11030",2010,"population","fertility","total","births",1.017
"11030",2015,"population","fertility","total","births",1.005
"11030",2020,"population","fertility","total","births",0.634
"11040",2010,"population","fertility","total","births",1.029
"11040",2015,"population","fertility","total","births",1.095
"11040",2020,"population","fertility","total","births",0.783
"11050",2010,"population","fertility","total","births",0.935
"11050",2015,"population","fertility","total","births",0.903
"11050",2020,"population","fertility","total","births",0.527
"11060",2010,"population","fertility","total","births",0.941
"11060",2015,"population","fertility","total","births",0.96
"11060",2020,"population","fertility","total","births",0.699
"11070",2010,"population","fertility","total","births",1.01
"11070",2015,"population","fertility","total","births",1.051
"11070",2020,"population","fertility","total","births",0.66
"11080",2010,"population","fertility","total","births",1.048
"11080",2015,"population","fertility","total","births",0.991
"11080",2020,"population","fertility","total","births",0.676
"11090",2010,"population","fertility","total","births",0.996
"11090",2015,"population","fertility","total","births",0.922
"11090",2020,"population","fertility","total","births",0.55
"11100",2010,"population","fertility","total","births",1.104
"11100",2015,"population","fertility","total","births",1.01
"11100",2020,"population","fertility","total","births",0.601
"11110",2010,"population","fertility","total","births",1.1
"11110",2015,"population","fertility","total","births",1.096
"11110",2020,"population","fertility","total","births",0.695
"11120",2010,"population","fertility","total","births",1.02
"11120",2015,"population","fertility","total","births",1.003
"11120",2020,"population","fertility","total","births",0.623
"11130",2010,"population","fertility","total","births",0.971
"11130",2015,"population","fertility","total","births",0.913
"11130",2020,"population","fertility","total","births",0.685
"11140",2010,"population","fertility","total","births",0.955
"11140",2015,"population","fertility","total","births",0.986
"11140",2020,"population","fertility","total","births",0.594
"11150",2010,"population","fertility","total","births",0.974
"11150",2015,"population","fertility","total","births",1.034
"11150",2020,"population","fertility","total","births",0.644
"11160",2010,"population","fertility","total","births",1.085
"11160",2015,"population","fertility","total","births",1.129
"11160",2020,"population","fertility","total","births",0.675
"11170",2010,"population","fertility","total","births",1.197
"11170",2015,"population","fertility","total","births",1.169
"11170",2020,"population","fertility","total","births",0.737
"11180",2010,"population","fertility","total","births",1.011
"11180",2015,"population","fertility","total","births",1.086
"11180",2020,"population","fertility","total","births",0.668
"11190",2010,"population","fertility","total","births",1.128
"11190",2015,"population","fertility","total","births",1.085
"11190",2020,"population","fertility","total","births",0.705
"11200",2010,"population","fertility","total","births",0.989
"11200",2015,"population","fertility","total","births",1.012
"11200",2020,"population","fertility","total","births",0.655
"11210",2010,"population","fertility","total","births",0.881
