"year","sggcd","type","class1","class2","unit","value"
2010,"32010","economy","grdp","gross regional domestic product at market prices","million KRW",4990390
2010,"32020","economy","grdp","gross regional domestic product at market prices","million KRW",5665531
2010,"32030","economy","grdp","gross regional domestic product at market prices","million KRW",3705959
2010,"32040","economy","grdp","gross regional domestic product at market prices","million KRW",2325739
2010,"32050","economy","grdp","gross regional domestic product at market prices","million KRW",769678
2010,"32060","economy","grdp","gross regional domestic product at market prices","million KRW",1230671
2010,"32070","economy","grdp","gross regional domestic product at market prices","million KRW",1555088
2010,"32310","economy","grdp","gross regional domestic product at market prices","million KRW",1791845
2010,"32320","economy","grdp","gross regional domestic product at market prices","million KRW",1104871
2010,"32330","economy","grdp","gross regional domestic product at market prices","million KRW",1007999
2010,"32340","economy","grdp","gross regional domestic product at market prices","million KRW",1125454
2010,"32350","economy","grdp","gross regional domestic product at market prices","million KRW",1202451
2010,"32360","economy","grdp","gross regional domestic product at market prices","million KRW",1211548
2010,"32370","economy","grdp","gross regional domestic product at market prices","million KRW",909707
2010,"32380","economy","grdp","gross regional domestic product at market prices","million KRW",623529
2010,"32390","economy","grdp","gross regional domestic product at market prices","million KRW",1052882
2010,"32400","economy","grdp","gross regional domestic product at market prices","million KRW",722612
2010,"32410","economy","grdp","gross regional domestic product at market prices","million KRW",732959
2010,"32010","economy","grdp","net taxes on products","million KRW",353526
2010,"32020","economy","grdp","net taxes on products","million KRW",457486
2010,"32030","economy","grdp","net taxes on products","million KRW",279883
2010,"32040","economy","grdp","net taxes on products","million KRW",202723
2010,"32050","economy","grdp","net taxes on products","million KRW",54268
2010,"32060","economy","grdp","net taxes on products","million KRW",85239
2010,"32070","economy","grdp","net taxes on products","million KRW",112923
2010,"32310","economy","grdp","net taxes on products","million KRW",136724
2010,"32320","economy","grdp","net taxes on products","million KRW",92845
2010,"32330","economy","grdp","net taxes on products","million KRW",76168
2010,"32340","economy","grdp","net taxes on products","million KRW",83803
2010,"32350","economy","grdp","net taxes on products","million KRW",84791
2010,"32360","economy","grdp","net taxes on products","million KRW",82105
2010,"32370","economy","grdp","net taxes on products","million KRW",54919
2010,"32380","economy","grdp","net taxes on products","million KRW",37818
2010,"32390","economy","grdp","net taxes on products","million KRW",67298
2010,"32400","economy","grdp","net taxes on products","million KRW",48214
2010,"32410","economy","grdp","net taxes on products","million KRW",54284
2010,"32010","economy","grdp","total value added at basic prices","million KRW",4636864
2010,"32020","economy","grdp","total value added at basic prices","million KRW",5208044
2010,"32030","economy","grdp","total value added at basic prices","million KRW",3426076
2010,"32040","economy","grdp","total value added at basic prices","million KRW",2123016
2010,"32050","economy","grdp","total value added at basic prices","million KRW",715410
2010,"32060","economy","grdp","total value added at basic prices","million KRW",1145433
2010,"32070","economy","grdp","total value added at basic prices","million KRW",1442165
2010,"32310","economy","grdp","total value added at basic prices","million KRW",1655122
2010,"32320","economy","grdp","total value added at basic prices","million KRW",1012025
2010,"32330","economy","grdp","total value added at basic prices","million KRW",931832
2010,"32340","economy","grdp","total value added at basic prices","million KRW",1041651
2010,"32350","economy","grdp","total value added at basic prices","million KRW",1117660
2010,"32360","economy","grdp","total value added at basic prices","million KRW",1129443
2010,"32370","economy","grdp","total value added at basic prices","million KRW",854788
2010,"32380","economy","grdp","total value added at basic prices","million KRW",585711
2010,"32390","economy","grdp","total value added at basic prices","million KRW",985584
2010,"32400","economy","grdp","total value added at basic prices","million KRW",674398
2010,"32410","economy","grdp","total value added at basic prices","million KRW",678675
2010,"32010","economy","grdp","agriculture, forestry and fishing","million KRW",112086
2010,"32020","economy","grdp","agriculture, forestry and fishing","million KRW",86270
2010,"32030","economy","grdp","agriculture, forestry and fishing","million KRW",88779
2010,"32040","economy","grdp","agriculture, forestry and fishing","million KRW",25804
2010,"32050","economy","grdp","agriculture, forestry and fishing","million KRW",12753
2010,"32060","economy","grdp","agriculture, forestry and fishing","million KRW",30710
2010,"32070","economy","grdp","agriculture, forestry and fishing","million KRW",84846
2010,"32310","economy","grdp","agriculture, forestry and fishing","million KRW",241025
2010,"32320","economy","grdp","agriculture, forestry and fishing","million KRW",211709
2010,"32330","economy","grdp","agriculture, forestry and fishing","million KRW",90497
2010,"32340","economy","grdp","agriculture, forestry and fishing","million KRW",183352
2010,"32350","economy","grdp","agriculture, forestry and fishing","million KRW",138408
2010,"32360","economy","grdp","agriculture, forestry and fishing","million KRW",111308
2010,"32370","economy","grdp","agriculture, forestry and fishing","million KRW",56391
2010,"32380","economy","grdp","agriculture, forestry and fishing","million KRW",78360
2010,"32390","economy","grdp","agriculture, forestry and fishing","million KRW",98269
2010,"32400","economy","grdp","agriculture, forestry and fishing","million KRW",47784
2010,"32410","economy","grdp","agriculture, forestry and fishing","million KRW",46067
2010,"32010","economy","grdp","mining and quarrying","million KRW",19433
2010,"32020","economy","grdp","mining and quarrying","million KRW",17450
2010,"32030","economy","grdp","mining and quarrying","million KRW",40080
2010,"32040","economy","grdp","mining and quarrying","million KRW",30542
2010,"32050","economy","grdp","mining and quarrying","million KRW",35223
2010,"32060","economy","grdp","mining and quarrying","million KRW",NA
2010,"32070","economy","grdp","mining and quarrying","million KRW",243113
2010,"32310","economy","grdp","mining and quarrying","million KRW",3085
2010,"32320","economy","grdp","mining and quarrying","million KRW",7118
2010,"32330","economy","grdp","mining and quarrying","million KRW",57960
2010,"32340","economy","grdp","mining and quarrying","million KRW",20573
2010,"32350","economy","grdp","mining and quarrying","million KRW",74036
2010,"32360","economy","grdp","mining and quarrying","million KRW",NA
2010,"32370","economy","grdp","mining and quarrying","million KRW",NA
2010,"32380","economy","grdp","mining and quarrying","million KRW",2853
2010,"32390","economy","grdp","mining and quarrying","million KRW",1172
2010,"32400","economy","grdp","mining and quarrying","million KRW",5539
2010,"32410","economy","grdp","mining and quarrying","million KRW",21017
2010,"32010","economy","grdp","manufacturing","million KRW",206647
2010,"32020","economy","grdp","manufacturing","million KRW",980188
2010,"32030","economy","grdp","manufacturing","million KRW",302412
2010,"32040","economy","grdp","manufacturing","million KRW",429013
2010,"32050","economy","grdp","manufacturing","million KRW",27518
2010,"32060","economy","grdp","manufacturing","million KRW",32243
2010,"32070","economy","grdp","manufacturing","million KRW",138673
2010,"32310","economy","grdp","manufacturing","million KRW",231398
2010,"32320","economy","grdp","manufacturing","million KRW",202507
2010,"32330","economy","grdp","manufacturing","million KRW",145389
2010,"32340","economy","grdp","manufacturing","million KRW",42759
2010,"32350","economy","grdp","manufacturing","million KRW",46714
2010,"32360","economy","grdp","manufacturing","million KRW",62220
2010,"32370","economy","grdp","manufacturing","million KRW",14821
2010,"32380","economy","grdp","manufacturing","million KRW",13081
2010,"32390","economy","grdp","manufacturing","million KRW",15858
2010,"32400","economy","grdp","manufacturing","million KRW",26003
2010,"32410","economy","grdp","manufacturing","million KRW",33044
2010,"32010","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",128984
2010,"32020","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",87548
2010,"32030","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",105640
2010,"32040","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",95687
2010,"32050","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",9675
2010,"32060","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",13766
2010,"32070","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",9463
