Row,Province,District,District_Code
1,Busan,Buk,21080
2,Busan,Busanjin,21050
3,Busan,Dong,21030
4,Busan,Dongnae,21060
5,Busan,Gangseo,21120
6,Busan,Geumjeong,21110
7,Busan,Gijang,21510
8,Busan,Haeundae,21090
9,Busan,Jung,21010
10,Busan,Nam,21070
11,Busan,Saha,21100
12,Busan,Sasang,21150
13,Busan,Seo,21020
14,Busan,Suyeong,21140
15,Busan,Yeongdo,21040
16,Busan,Yeonje,21130
17,Chungcheongbuk-do,Boeun,33520
18,Chungcheongbuk-do,Cheongju,NA
19,Chungcheongbuk-do,Chungju,33020
20,Chungcheongbuk-do,Danyang,33580
21,Chungcheongbuk-do,Eumseong,33570
22,Chungcheongbuk-do,Goesan,33560
23,Chungcheongbuk-do,Jecheon,33030
24,Chungcheongbuk-do,Jeungpyeong,33590
25,Chungcheongbuk-do,Jincheon,33550
26,Chungcheongbuk-do,Okcheon,33530
27,Chungcheongbuk-do,Yeongdong,33540
28,Chungcheongnam-do,Asan,34040
29,Chungcheongnam-do,Boryeong,34030
30,Chungcheongnam-do,Buyeo,34530
31,Chungcheongnam-do,Cheonan,NA
32,Chungcheongnam-do,Cheongyang,34550
33,Chungcheongnam-do,Dangjin,34080
34,Chungcheongnam-do,Geumsan,34510
35,Chungcheongnam-do,Gongju,34020
36,Chungcheongnam-do,Gyeryong,34070
37,Chungcheongnam-do,Hongseong,34560
38,Chungcheongnam-do,Nonsan,34060
39,Chungcheongnam-do,Seocheon,34540
40,Chungcheongnam-do,Seosan,34050
41,Chungcheongnam-do,Taean,34580
42,Chungcheongnam-do,Yesan,34570
43,Daegu,Buk,22050
44,Daegu,Dalseo,22070
45,Daegu,Dalseong,22510
46,Daegu,Dong,22020
47,Daegu,Jung,22010
48,Daegu,Nam,22040
49,Daegu,Seo,22030
50,Daegu,Suseong,22060
51,Daejeon,Daedeok,25050
52,Daejeon,Dong,25010
53,Daejeon,Jung,25020
54,Daejeon,Seo,25030
55,Daejeon,Yuseong,25040
56,Gangwon-do,Cheorwon,32560
57,Gangwon-do,Chuncheon,32010
58,Gangwon-do,Donghae,32040
59,Gangwon-do,Gangneung,32030
60,Gangwon-do,Goseong,32600
61,Gangwon-do,Hoengseong,32520
62,Gangwon-do,Hongcheon,32510
63,Gangwon-do,Hwacheon,32570
64,Gangwon-do,Inje,32590
65,Gangwon-do,Jeongseon,32550
66,Gangwon-do,Pyeongchang,32540
67,Gangwon-do,Samcheok,32070
68,Gangwon-do,Sokcho,32060
69,Gangwon-do,Taebaek,32050
70,Gangwon-do,Wonju,32020
71,Gangwon-do,Yanggu,32580
72,Gangwon-do,Yangyang,32610
73,Gangwon-do,Yeongwol,32530
74,Gwangju,Buk,24040
75,Gwangju,Dong,24010
76,Gwangju,Gwangsan,24050
77,Gwangju,Nam,24030
78,Gwangju,Seo,24020
79,Gyeonggi-do,Ansan,NA
80,Gyeonggi-do,Anseong,31220
81,Gyeonggi-do,Anyang,NA
82,Gyeonggi-do,Bucheon,31050
83,Gyeonggi-do,Dongducheon,31080
84,Gyeonggi-do,Gapyeong,31570
85,Gyeonggi-do,Gimpo,31230
86,Gyeonggi-do,Goyang,NA
87,Gyeonggi-do,Gunpo,31160
88,Gyeonggi-do,Guri,31120
