sido_kr,sido_sgis,sgg_tax_global,C1_NM,sgg_tax_income,C1_NM_income,sggcd,sggnm_kr
서울,11,A0223,종로구,A0123,종로구,11010,종로구
서울,11,A0224,중구,A0124,중구,11020,중구
서울,11,A0221,용산구,A0121,용산구,11030,용산구
서울,11,A0216,성동구,A0116,성동구,11040,성동구
서울,11,A0206,광진구,A0106,광진구,11050,광진구
서울,11,A0211,동대문구,A0111,동대문구,11060,동대문구
서울,11,A0225,중랑구,A0125,중랑구,11070,중랑구
서울,11,A0217,성북구,A0117,성북구,11080,성북구
서울,11,A0203,강북구,A0103,강북구,11090,강북구
서울,11,A0210,도봉구,A0110,도봉구,11100,도봉구
서울,11,A0209,노원구,A0109,노원구,11110,노원구
서울,11,A0222,은평구,A0122,은평구,11120,은평구
서울,11,A0214,서대문구,A0114,서대문구,11130,서대문구
서울,11,A0213,마포구,A0113,마포구,11140,마포구
서울,11,A0219,양천구,A0119,양천구,11150,양천구
서울,11,A0204,강서구,A0104,강서구,11160,강서구
서울,11,A0207,구로구,A0107,구로구,11170,구로구
서울,11,A0208,금천구,A0108,금천구,11180,금천구
서울,11,A0220,영등포구,A0120,영등포구,11190,영등포구
서울,11,A0212,동작구,A0112,동작구,11200,동작구
서울,11,A0205,관악구,A0105,관악구,11210,관악구
서울,11,A0215,서초구,A0115,서초구,11220,서초구
서울,11,A0201,강남구,A0101,강남구,11230,강남구
서울,11,A0218,송파구,A0118,송파구,11240,송파구
서울,11,A0202,강동구,A0102,강동구,11250,강동구
부산,21,A1515,중구,A1415,중구,21010,중구
부산,21,A1511,서구,A1411,서구,21020,서구
부산,21,A1505,동구,A1405,동구,21030,동구
부산,21,A1514,영도구,A1414,영도구,21040,영도구
부산,21,A1507,부산진구,A1407,부산진구,21050,부산진구
부산,21,A1506,동래구,A1406,동래구,21060,동래구
부산,21,A1504,남구,A1404,남구,21070,남구
부산,21,A1508,북구,A1408,북구,21080,북구
부산,21,A1516,해운대구,A1416,해운대구,21090,해운대구
부산,21,A1510,사하구,A1410,사하구,21100,사하구
부산,21,A1502,금정구,A1402,금정구,21110,금정구
부산,21,A1501,강서구,A1401,강서구,21120,강서구
부산,21,A1513,연제구,A1413,연제구,21130,연제구
부산,21,A1512,수영구,A1412,수영구,21140,수영구
부산,21,A1509,사상구,A1409,사상구,21150,사상구
부산,21,A1503,기장군,A1403,기장군,21510,기장군
대구,22,A1308,중구,A1208,중구,22010,중구
대구,22,A1304,동구,A1204,동구,22020,동구
대구,22,A1306,서구,A1206,서구,22030,서구
대구,22,A1301,남구,A1201,남구,22040,남구
대구,22,A1305,북구,A1205,북구,22050,북구
대구,22,A1307,수성구,A1207,수성구,22060,수성구
대구,22,A1302,달서구,A1202,달서구,22070,달서구
대구,22,A1303,달성군,A1203,달성군,22510,달성군
대구,22,A1309,군위군,A1305,군위군,22520,군위군
인천,23,A0310,중구,A0210,중구,23010,중구
인천,23,A0304,동구,A0205,동구,23020,동구
인천,23,A0308,연수구,A0208,연수구,23040,연수구
인천,23,A0303,남동구,A0204,남동구,23050,남동구
인천,23,A0306,부평구,A0206,부평구,23060,부평구
인천,23,A0302,계양구,A0202,계양구,23070,계양구
인천,23,A0307,서구,A0207,서구,23080,서구
인천,23,A0305,미추홀구(남구),A0203,미추홀구(남구),23090,미추홀구
인천,23,A0301,강화군,A0201,강화군,23510,강화군
인천,23,A0309,옹진군,A0209,옹진군,23520,옹진군
광주,24,A1003,동구,A0903,동구,24010,동구
광주,24,A1005,서구,A0905,서구,24020,서구
광주,24,A1002,남구,A0902,남구,24030,남구
광주,24,A1004,북구,A0904,북구,24040,북구
광주,24,A1001,광산구,A0901,광산구,24050,광산구
대전,25,A0602,동구,A0502,동구,25010,동구
대전,25,A0605,중구,A0505,중구,25020,중구
대전,25,A0603,서구,A0503,서구,25030,서구
대전,25,A0604,유성구,A0504,유성구,25040,유성구
대전,25,A0601,대덕구,A0501,대덕구,25050,대덕구
울산,26,A1605,중구,A1505,중구,26010,중구
울산,26,A1601,남구,A1501,남구,26020,남구
