"year","sggcd","type","class1","class2","unit","value"
2010,"BVXX131","migration","marital","total","count",379
2010,"BVXX132","migration","marital","total","count",99
2010,"BVXX133","migration","marital","total","count",162
2010,"BVXX134","migration","marital","total","count",177
2010,"BVXX135","migration","marital","total","count",155
2010,"BVXX136","migration","marital","total","count",99
2010,"BVXX137","migration","marital","total","count",94
2010,"BVXX138","migration","marital","total","count",124
2010,"BVXX139","migration","marital","total","count",698
2010,"BVXX140","migration","marital","total","count",89
2010,"BVXX141","migration","marital","total","count",183
2010,"BVXX142","migration","marital","total","count",156
2010,"BVXX143","migration","marital","total","count",589
2010,"BVXX144","migration","marital","total","count",109
2010,"BVXX145","migration","marital","total","count",136
2010,"BVXX146","migration","marital","total","count",256
2010,"BVXX147","migration","marital","total","count",69
2010,"BVXX148","migration","marital","total","count",166
2010,"BVXX097","migration","marital","total","count",747
2010,"BVXX098","migration","marital","total","count",668
2010,"BVXX099","migration","marital","total","count",1298
2010,"BVXX129","migration","marital","total","count",657
2010,"BVXX084","migration","marital","total","count",382
2010,"BVXX085","migration","marital","total","count",1070
2010,"BVXX086","migration","marital","total","count",634
2010,"BVXX087","migration","marital","total","count",575
2010,"BVXX088","migration","marital","total","count",79
2010,"BVXX089","migration","marital","total","count",904
2010,"BVXX090","migration","marital","total","count",883
2010,"BVXX091","migration","marital","total","count",478
2010,"BVXX092","migration","marital","total","count",817
2010,"BVXX093","migration","marital","total","count",771
2010,"BVXX094","migration","marital","total","count",1420
2010,"BVXX095","migration","marital","total","count",459
2010,"BVXX100","migration","marital","total","count",572
2010,"BVXX101","migration","marital","total","count",1166
2010,"BVXX102","migration","marital","total","count",896
2010,"BVXX103","migration","marital","total","count",1030
2010,"BVXX104","migration","marital","total","count",427
2010,"BVXX105","migration","marital","total","count",750
2010,"BVXX106","migration","marital","total","count",1241
2010,"BVXX107","migration","marital","total","count",2035
2010,"BVXX108","migration","marital","total","count",3042
2010,"BVXX109","migration","marital","total","count",1345
2010,"BVXX110","migration","marital","total","count",670
2010,"BVXX111","migration","marital","total","count",510
2010,"BVXX112","migration","marital","total","count",741
2010,"BVXX113","migration","marital","total","count",708
2010,"BVXX114","migration","marital","total","count",301
2010,"BVXX115","migration","marital","total","count",326
2010,"BVXX116","migration","marital","total","count",178
2010,"BVXX117","migration","marital","total","count",772
2010,"BVXX118","migration","marital","total","count",674
2010,"BVXX119","migration","marital","total","count",372
2010,"BVXX120","migration","marital","total","count",729
2010,"BVXX121","migration","marital","total","count",299
2010,"BVXX122","migration","marital","total","count",1167
2010,"BVXX123","migration","marital","total","count",643
2010,"BVXX124","migration","marital","total","count",1106
2010,"BVXX125","migration","marital","total","count",1587
2010,"BVXX126","migration","marital","total","count",831
2010,"BVXX127","migration","marital","total","count",400
2010,"BVXX128","migration","marital","total","count",1181
2010,"BVXX258","migration","marital","total","count",19
