"year","adm2_code","type","unit","class1","class2","value","adm1","adm2"
2010,11010,"mortality","per 100k population","All causes","total",369.8,"Seoul","Jongno-gu"
2010,11010,"mortality","per 100k population","All causes","male",524.1,"Seoul","Jongno-gu"
2010,11010,"mortality","per 100k population","All causes","female",237.9,"Seoul","Jongno-gu"
2010,11020,"mortality","per 100k population","All causes","total",387.1,"Seoul","Jung-gu"
2010,11020,"mortality","per 100k population","All causes","male",535.2,"Seoul","Jung-gu"
2010,11020,"mortality","per 100k population","All causes","female",257.3,"Seoul","Jung-gu"
2010,11030,"mortality","per 100k population","All causes","total",348.7,"Seoul","Yongsan-gu"
2010,11030,"mortality","per 100k population","All causes","male",480,"Seoul","Yongsan-gu"
2010,11030,"mortality","per 100k population","All causes","female",243,"Seoul","Yongsan-gu"
2010,11040,"mortality","per 100k population","All causes","total",355.3,"Seoul","Seongdong-gu"
2010,11040,"mortality","per 100k population","All causes","male",476,"Seoul","Seongdong-gu"
2010,11040,"mortality","per 100k population","All causes","female",260.7,"Seoul","Seongdong-gu"
2010,11050,"mortality","per 100k population","All causes","total",350.4,"Seoul","Gwangjin-gu"
2010,11050,"mortality","per 100k population","All causes","male",482.9,"Seoul","Gwangjin-gu"
2010,11050,"mortality","per 100k population","All causes","female",250.4,"Seoul","Gwangjin-gu"
2010,11060,"mortality","per 100k population","All causes","total",402,"Seoul","Dongdaemun-gu"
2010,11060,"mortality","per 100k population","All causes","male",547.3,"Seoul","Dongdaemun-gu"
2010,11060,"mortality","per 100k population","All causes","female",281.2,"Seoul","Dongdaemun-gu"
2010,11070,"mortality","per 100k population","All causes","total",397.4,"Seoul","Jungnang-gu"
2010,11070,"mortality","per 100k population","All causes","male",559,"Seoul","Jungnang-gu"
2010,11070,"mortality","per 100k population","All causes","female",276.5,"Seoul","Jungnang-gu"
2010,11080,"mortality","per 100k population","All causes","total",362.2,"Seoul","Seongbuk-gu"
2010,11080,"mortality","per 100k population","All causes","male",512.6,"Seoul","Seongbuk-gu"
2010,11080,"mortality","per 100k population","All causes","female",247.7,"Seoul","Seongbuk-gu"
2010,11090,"mortality","per 100k population","All causes","total",391.7,"Seoul","Gangbuk-gu"
2010,11090,"mortality","per 100k population","All causes","male",539.6,"Seoul","Gangbuk-gu"
2010,11090,"mortality","per 100k population","All causes","female",272.1,"Seoul","Gangbuk-gu"
2010,11100,"mortality","per 100k population","All causes","total",362.5,"Seoul","Dobong-gu"
2010,11100,"mortality","per 100k population","All causes","male",502.4,"Seoul","Dobong-gu"
2010,11100,"mortality","per 100k population","All causes","female",256.1,"Seoul","Dobong-gu"
2010,11110,"mortality","per 100k population","All causes","total",384.5,"Seoul","Nowon-gu"
2010,11110,"mortality","per 100k population","All causes","male",539.2,"Seoul","Nowon-gu"
2010,11110,"mortality","per 100k population","All causes","female",276.6,"Seoul","Nowon-gu"
2010,11120,"mortality","per 100k population","All causes","total",376.3,"Seoul","Eunpyeong-gu"
2010,11120,"mortality","per 100k population","All causes","male",525.1,"Seoul","Eunpyeong-gu"
2010,11120,"mortality","per 100k population","All causes","female",260,"Seoul","Eunpyeong-gu"
2010,11130,"mortality","per 100k population","All causes","total",345,"Seoul","Seodaemun-gu"
2010,11130,"mortality","per 100k population","All causes","male",480.3,"Seoul","Seodaemun-gu"
2010,11130,"mortality","per 100k population","All causes","female",245.2,"Seoul","Seodaemun-gu"
2010,11140,"mortality","per 100k population","All causes","total",338.8,"Seoul","Mapo-gu"
2010,11140,"mortality","per 100k population","All causes","male",458.1,"Seoul","Mapo-gu"
2010,11140,"mortality","per 100k population","All causes","female",242.9,"Seoul","Mapo-gu"
2010,11150,"mortality","per 100k population","All causes","total",349.3,"Seoul","Yangcheon-gu"
2010,11150,"mortality","per 100k population","All causes","male",469.9,"Seoul","Yangcheon-gu"
2010,11150,"mortality","per 100k population","All causes","female",255.9,"Seoul","Yangcheon-gu"
2010,11160,"mortality","per 100k population","All causes","total",384.9,"Seoul","Gangseo-gu"
2010,11160,"mortality","per 100k population","All causes","male",535.8,"Seoul","Gangseo-gu"
2010,11160,"mortality","per 100k population","All causes","female",274,"Seoul","Gangseo-gu"
2010,11170,"mortality","per 100k population","All causes","total",370.3,"Seoul","Guro-gu"
2010,11170,"mortality","per 100k population","All causes","male",512,"Seoul","Guro-gu"
2010,11170,"mortality","per 100k population","All causes","female",256.9,"Seoul","Guro-gu"
2010,11180,"mortality","per 100k population","All causes","total",396.2,"Seoul","Geumcheon-gu"
2010,11180,"mortality","per 100k population","All causes","male",517.4,"Seoul","Geumcheon-gu"
2010,11180,"mortality","per 100k population","All causes","female",295.7,"Seoul","Geumcheon-gu"
2010,11190,"mortality","per 100k population","All causes","total",358.6,"Seoul","Yeongdeungpo-gu"
2010,11190,"mortality","per 100k population","All causes","male",490.7,"Seoul","Yeongdeungpo-gu"
2010,11190,"mortality","per 100k population","All causes","female",252,"Seoul","Yeongdeungpo-gu"
2010,11200,"mortality","per 100k population","All causes","total",327.3,"Seoul","Dongjak-gu"
2010,11200,"mortality","per 100k population","All causes","male",446,"Seoul","Dongjak-gu"
2010,11200,"mortality","per 100k population","All causes","female",236,"Seoul","Dongjak-gu"
2010,11210,"mortality","per 100k population","All causes","total",375,"Seoul","Gwanak-gu"
2010,11210,"mortality","per 100k population","All causes","male",524.3,"Seoul","Gwanak-gu"
2010,11210,"mortality","per 100k population","All causes","female",264.4,"Seoul","Gwanak-gu"
2010,11220,"mortality","per 100k population","All causes","total",284.2,"Seoul","Seocho-gu"
2010,11220,"mortality","per 100k population","All causes","male",369.5,"Seoul","Seocho-gu"
2010,11220,"mortality","per 100k population","All causes","female",215.3,"Seoul","Seocho-gu"
2010,11230,"mortality","per 100k population","All causes","total",290.9,"Seoul","Gangnam-gu"
2010,11230,"mortality","per 100k population","All causes","male",386.8,"Seoul","Gangnam-gu"
2010,11230,"mortality","per 100k population","All causes","female",225.5,"Seoul","Gangnam-gu"
2010,11240,"mortality","per 100k population","All causes","total",331.5,"Seoul","Songpa-gu"
2010,11240,"mortality","per 100k population","All causes","male",439.6,"Seoul","Songpa-gu"
2010,11240,"mortality","per 100k population","All causes","female",246,"Seoul","Songpa-gu"
2010,11250,"mortality","per 100k population","All causes","total",354.3,"Seoul","Gangdong-gu"
