"adm2_code","class2","class1","type","year","unit","value","adm1","adm2"
11010,"total","All causes","mortality",2020,"per 100k population",261.7,"Seoul","Jongno-gu"
11010,"male","All causes","mortality",2020,"per 100k population",370.2,"Seoul","Jongno-gu"
11010,"female","All causes","mortality",2020,"per 100k population",169.4,"Seoul","Jongno-gu"
11020,"total","All causes","mortality",2020,"per 100k population",264,"Seoul","Jung-gu"
11020,"male","All causes","mortality",2020,"per 100k population",385.2,"Seoul","Jung-gu"
11020,"female","All causes","mortality",2020,"per 100k population",163.3,"Seoul","Jung-gu"
11030,"total","All causes","mortality",2020,"per 100k population",250.2,"Seoul","Yongsan-gu"
11030,"male","All causes","mortality",2020,"per 100k population",345.7,"Seoul","Yongsan-gu"
11030,"female","All causes","mortality",2020,"per 100k population",172.7,"Seoul","Yongsan-gu"
11040,"total","All causes","mortality",2020,"per 100k population",247.9,"Seoul","Seongdong-gu"
11040,"male","All causes","mortality",2020,"per 100k population",349.9,"Seoul","Seongdong-gu"
11040,"female","All causes","mortality",2020,"per 100k population",166,"Seoul","Seongdong-gu"
11050,"total","All causes","mortality",2020,"per 100k population",247.2,"Seoul","Gwangjin-gu"
11050,"male","All causes","mortality",2020,"per 100k population",344.3,"Seoul","Gwangjin-gu"
11050,"female","All causes","mortality",2020,"per 100k population",165.1,"Seoul","Gwangjin-gu"
11060,"total","All causes","mortality",2020,"per 100k population",298.7,"Seoul","Dongdaemun-gu"
11060,"male","All causes","mortality",2020,"per 100k population",421.5,"Seoul","Dongdaemun-gu"
11060,"female","All causes","mortality",2020,"per 100k population",196.7,"Seoul","Dongdaemun-gu"
11070,"total","All causes","mortality",2020,"per 100k population",293.6,"Seoul","Jungnang-gu"
11070,"male","All causes","mortality",2020,"per 100k population",394.7,"Seoul","Jungnang-gu"
11070,"female","All causes","mortality",2020,"per 100k population",205.6,"Seoul","Jungnang-gu"
11080,"total","All causes","mortality",2020,"per 100k population",262.1,"Seoul","Seongbuk-gu"
11080,"male","All causes","mortality",2020,"per 100k population",365.2,"Seoul","Seongbuk-gu"
11080,"female","All causes","mortality",2020,"per 100k population",180.5,"Seoul","Seongbuk-gu"
11090,"total","All causes","mortality",2020,"per 100k population",301.9,"Seoul","Gangbuk-gu"
11090,"male","All causes","mortality",2020,"per 100k population",411.9,"Seoul","Gangbuk-gu"
11090,"female","All causes","mortality",2020,"per 100k population",214.7,"Seoul","Gangbuk-gu"
11100,"total","All causes","mortality",2020,"per 100k population",270,"Seoul","Dobong-gu"
11100,"male","All causes","mortality",2020,"per 100k population",359.5,"Seoul","Dobong-gu"
11100,"female","All causes","mortality",2020,"per 100k population",195.7,"Seoul","Dobong-gu"
11110,"total","All causes","mortality",2020,"per 100k population",270.6,"Seoul","Nowon-gu"
11110,"male","All causes","mortality",2020,"per 100k population",358.1,"Seoul","Nowon-gu"
11110,"female","All causes","mortality",2020,"per 100k population",202.8,"Seoul","Nowon-gu"
11120,"total","All causes","mortality",2020,"per 100k population",261.1,"Seoul","Eunpyeong-gu"
11120,"male","All causes","mortality",2020,"per 100k population",370.7,"Seoul","Eunpyeong-gu"
11120,"female","All causes","mortality",2020,"per 100k population",173,"Seoul","Eunpyeong-gu"
11130,"total","All causes","mortality",2020,"per 100k population",257.1,"Seoul","Seodaemun-gu"
11130,"male","All causes","mortality",2020,"per 100k population",341.2,"Seoul","Seodaemun-gu"
11130,"female","All causes","mortality",2020,"per 100k population",192.4,"Seoul","Seodaemun-gu"
11140,"total","All causes","mortality",2020,"per 100k population",236.9,"Seoul","Mapo-gu"
11140,"male","All causes","mortality",2020,"per 100k population",323.9,"Seoul","Mapo-gu"
11140,"female","All causes","mortality",2020,"per 100k population",172.7,"Seoul","Mapo-gu"
11150,"total","All causes","mortality",2020,"per 100k population",245.9,"Seoul","Yangcheon-gu"
11150,"male","All causes","mortality",2020,"per 100k population",332.2,"Seoul","Yangcheon-gu"
11150,"female","All causes","mortality",2020,"per 100k population",177.4,"Seoul","Yangcheon-gu"
11160,"total","All causes","mortality",2020,"per 100k population",260.5,"Seoul","Gangseo-gu"
11160,"male","All causes","mortality",2020,"per 100k population",357.1,"Seoul","Gangseo-gu"
11160,"female","All causes","mortality",2020,"per 100k population",183.3,"Seoul","Gangseo-gu"
11170,"total","All causes","mortality",2020,"per 100k population",258,"Seoul","Guro-gu"
11170,"male","All causes","mortality",2020,"per 100k population",357.2,"Seoul","Guro-gu"
