"year","adm2_code","class2","value","type","class1","unit","adm1","adm2"
2010,11010,"total",147843,"population","all households","persons","Seoul","Jongno-gu"
2010,11010,"male",71313,"population","all households","persons","Seoul","Jongno-gu"
2010,11010,"female",76530,"population","all households","persons","Seoul","Jongno-gu"
2010,11020,"total",115387,"population","all households","persons","Seoul","Jung-gu"
2010,11020,"male",56104,"population","all households","persons","Seoul","Jung-gu"
2010,11020,"female",59283,"population","all households","persons","Seoul","Jung-gu"
2010,11030,"total",218308,"population","all households","persons","Seoul","Yongsan-gu"
2010,11030,"male",103711,"population","all households","persons","Seoul","Yongsan-gu"
2010,11030,"female",114597,"population","all households","persons","Seoul","Yongsan-gu"
2010,11040,"total",287460,"population","all households","persons","Seoul","Seongdong-gu"
2010,11040,"male",140442,"population","all households","persons","Seoul","Seongdong-gu"
2010,11040,"female",147018,"population","all households","persons","Seoul","Seongdong-gu"
2010,11050,"total",353089,"population","all households","persons","Seoul","Gwangjin-gu"
2010,11050,"male",169403,"population","all households","persons","Seoul","Gwangjin-gu"
2010,11050,"female",183686,"population","all households","persons","Seoul","Gwangjin-gu"
2010,11060,"total",335878,"population","all households","persons","Seoul","Dongdaemun-gu"
2010,11060,"male",164737,"population","all households","persons","Seoul","Dongdaemun-gu"
2010,11060,"female",171141,"population","all households","persons","Seoul","Dongdaemun-gu"
2010,11070,"total",396417,"population","all households","persons","Seoul","Jungnang-gu"
2010,11070,"male",192751,"population","all households","persons","Seoul","Jungnang-gu"
2010,11070,"female",203666,"population","all households","persons","Seoul","Jungnang-gu"
2010,11080,"total",447560,"population","all households","persons","Seoul","Seongbuk-gu"
2010,11080,"male",216048,"population","all households","persons","Seoul","Seongbuk-gu"
2010,11080,"female",231512,"population","all households","persons","Seoul","Seongbuk-gu"
2010,11090,"total",320322,"population","all households","persons","Seoul","Gangbuk-gu"
2010,11090,"male",154987,"population","all households","persons","Seoul","Gangbuk-gu"
2010,11090,"female",165335,"population","all households","persons","Seoul","Gangbuk-gu"
2010,11100,"total",343881,"population","all households","persons","Seoul","Dobong-gu"
2010,11100,"male",166299,"population","all households","persons","Seoul","Dobong-gu"
2010,11100,"female",177582,"population","all households","persons","Seoul","Dobong-gu"
2010,11110,"total",574817,"population","all households","persons","Seoul","Nowon-gu"
2010,11110,"male",276276,"population","all households","persons","Seoul","Nowon-gu"
2010,11110,"female",298541,"population","all households","persons","Seoul","Nowon-gu"
2010,11120,"total",441780,"population","all households","persons","Seoul","Eunpyeong-gu"
2010,11120,"male",211985,"population","all households","persons","Seoul","Eunpyeong-gu"
2010,11120,"female",229795,"population","all households","persons","Seoul","Eunpyeong-gu"
2010,11130,"total",301323,"population","all households","persons","Seoul","Seodaemun-gu"
2010,11130,"male",143478,"population","all households","persons","Seoul","Seodaemun-gu"
2010,11130,"female",157845,"population","all households","persons","Seoul","Seodaemun-gu"
2010,11140,"total",364134,"population","all households","persons","Seoul","Mapo-gu"
2010,11140,"male",172490,"population","all households","persons","Seoul","Mapo-gu"
2010,11140,"female",191644,"population","all households","persons","Seoul","Mapo-gu"
2010,11150,"total",462380,"population","all households","persons","Seoul","Yangcheon-gu"
2010,11150,"male",224899,"population","all households","persons","Seoul","Yangcheon-gu"
2010,11150,"female",237481,"population","all households","persons","Seoul","Yangcheon-gu"
2010,11160,"total",539535,"population","all households","persons","Seoul","Gangseo-gu"
2010,11160,"male",260192,"population","all households","persons","Seoul","Gangseo-gu"
2010,11160,"female",279343,"population","all households","persons","Seoul","Gangseo-gu"
2010,11170,"total",399895,"population","all households","persons","Seoul","Guro-gu"
2010,11170,"male",197523,"population","all households","persons","Seoul","Guro-gu"
2010,11170,"female",202372,"population","all households","persons","Seoul","Guro-gu"
2010,11180,"total",229039,"population","all households","persons","Seoul","Geumcheon-gu"
2010,11180,"male",114278,"population","all households","persons","Seoul","Geumcheon-gu"
2010,11180,"female",114761,"population","all households","persons","Seoul","Geumcheon-gu"
2010,11190,"total",372938,"population","all households","persons","Seoul","Yeongdeungpo-gu"
2010,11190,"male",182789,"population","all households","persons","Seoul","Yeongdeungpo-gu"
2010,11190,"female",190149,"population","all households","persons","Seoul","Yeongdeungpo-gu"
2010,11200,"total",383346,"population","all households","persons","Seoul","Dongjak-gu"
2010,11200,"male",186219,"population","all households","persons","Seoul","Dongjak-gu"
2010,11200,"female",197127,"population","all households","persons","Seoul","Dongjak-gu"
2010,11210,"total",509588,"population","all households","persons","Seoul","Gwanak-gu"
2010,11210,"male",253479,"population","all households","persons","Seoul","Gwanak-gu"
2010,11210,"female",256109,"population","all households","persons","Seoul","Gwanak-gu"
2010,11220,"total",387352,"population","all households","persons","Seoul","Seocho-gu"
2010,11220,"male",183468,"population","all households","persons","Seoul","Seocho-gu"
2010,11220,"female",203884,"population","all households","persons","Seoul","Seocho-gu"
2010,11230,"total",524077,"population","all households","persons","Seoul","Gangnam-gu"
2010,11230,"male",245499,"population","all households","persons","Seoul","Gangnam-gu"
2010,11230,"female",278578,"population","all households","persons","Seoul","Gangnam-gu"
2010,11240,"total",633968,"population","all households","persons","Seoul","Songpa-gu"
2010,11240,"male",303636,"population","all households","persons","Seoul","Songpa-gu"
2010,11240,"female",330332,"population","all households","persons","Seoul","Songpa-gu"
2010,11250,"total",457114,"population","all households","persons","Seoul","Gangdong-gu"
2010,11250,"male",223252,"population","all households","persons","Seoul","Gangdong-gu"
2010,11250,"female",233862,"population","all households","persons","Seoul","Gangdong-gu"
2010,21010,"total",47143,"population","all households","persons","Busan","Jung-gu"
2010,21010,"male",22678,"population","all households","persons","Busan","Jung-gu"
2010,21010,"female",24465,"population","all households","persons","Busan","Jung-gu"
2010,21020,"total",113814,"population","all households","persons","Busan","Seo-gu"
2010,21020,"male",54448,"population","all households","persons","Busan","Seo-gu"
2010,21020,"female",59366,"population","all households","persons","Busan","Seo-gu"
2010,21030,"total",92262,"population","all households","persons","Busan","Dong-gu"
