"sigungu_cd","sigungu_kr","population_relative_total","population_nonrelative_total","population_relative_male","population_nonrelative_male","population_relative_female","population_nonrelative_female","sido_en","sigungu_1_en"
11010,"종로구","128487","5000","61206","2466","67281","2534","Seoul","Jongno-gu"
11020,"중구","113834","5351","54382","2706","59452","2645","Seoul","Jung-gu"
11030,"용산구","189119","8390","89579","4148","99540","4242","Seoul","Yongsan-gu"
11040,"성동구","260907","7897","125517","3928","135390","3969","Seoul","Seongdong-gu"
11050,"광진구","317840","10099","151610","4887","166230","5212","Seoul","Gwangjin-gu"
11060,"동대문구","326070","9509","158077","4793","167993","4716","Seoul","Dongdaemun-gu"
11070,"중랑구","363653","8694","176236","4468","187417","4226","Seoul","Jungnang-gu"
11080,"성북구","402659","9277","191421","4486","211238","4791","Seoul","Seongbuk-gu"
11090,"강북구","269858","6572","128904","3284","140954","3288","Seoul","Gangbuk-gu"
11100,"도봉구","289346","5449","138946","2730","150400","2719","Seoul","Dobong-gu"
11110,"노원구","469812","8883","223413","4416","246399","4467","Seoul","Nowon-gu"
11120,"은평구","437356","11373","205255","5487","232101","5886","Seoul","Eunpyeong-gu"
11130,"서대문구","290371","8553","135959","4011","154412","4542","Seoul","Seodaemun-gu"
11140,"마포구","342854","13557","158711","6316","184143","7241","Seoul","Mapo-gu"
11150,"양천구","409162","7133","197945","3607","211217","3526","Seoul","Yangcheon-gu"
11160,"강서구","531642","17697","252555","8859","279087","8838","Seoul","Gangseo-gu"
11170,"구로구","373696","11104","181825","5691","191871","5413","Seoul","Guro-gu"
11180,"금천구","217367","7615","108343","3927","109024","3688","Seoul","Geumcheon-gu"
11190,"영등포구","354493","12700","171830","6354","182663","6346","Seoul","Yeongdeungpo-gu"
11200,"동작구","357863","9476","171834","4620","186029","4856","Seoul","Dongjak-gu"
11210,"관악구","457257","20945","228585","11224","228672","9721","Seoul","Gwanak-gu"
11220,"서초구","376382","9082","178320","4473","198062","4609","Seoul","Seocho-gu"
11230,"강남구","515938","16664","245582","8271","270356","8393","Seoul","Gangnam-gu"
11240,"송파구","613895","16659","292349","8329","321546","8330","Seoul","Songpa-gu"
11250,"강동구","443286","10309","214560","5290","228726","5019","Seoul","Gangdong-gu"
21010,"중구","35832","1512","17208","791","18624","721","Busan","Jung-gu"
21020,"서구","97882","2212","46583","1125","51299","1087","Busan","Seo-gu"
21030,"동구","81853","2634","39288","1357","42565","1277","Busan","Dong-gu"
21040,"영도구","99203","1949","48359","1039","50844","910","Busan","Yeongdo-gu"
21050,"부산진구","346029","11052","164440","5576","181589","5476","Busan","Busanjin-gu"
21060,"동래구","259220","4093","124199","2052","135021","2041","Busan","Dongnae-gu"
21070,"남구","245176","5749","118740","3040","126436","2709","Busan","Nam-gu"
21080,"북구","258538","3663","126007","1924","132531","1739","Busan","Buk-gu"
21090,"해운대구","357071","6508","170112","3324","186959","3184","Busan","Haeundae-gu"
21100,"사하구","280285","5201","138032","2877","142253","2324","Busan","Saha-gu"
21110,"금정구","202507","3873","98400","2038","104107","1835","Busan","Geumjeong-gu"
21120,"강서구","136207","3014","69610","1698","66597","1316","Busan","Gangseo-gu"
21130,"연제구","203385","4183","96346","2122","107039","2061","Busan","Yeonje-gu"
21140,"수영구","162864","4900","75972","2445","86892","2455","Busan","Suyeong-gu"
21150,"사상구","192715","3977","95725","2098","96990","1879","Busan","Sasang-gu"
21510,"기장군","166627","3366","82080","1834","84547","1532","Busan","Gijang-gun"
22010,"중구","91689","2516","43645","1276","48044","1240","Daegu","Jung-gu"
22020,"동구","328750","5906","159611","3095","169139","2811","Daegu","Dong-gu"
22030,"서구","157325","2547","77581","1389","79744","1158","Daegu","Seo-gu"
22040,"남구","130411","2841","61908","1469","68503","1372","Daegu","Nam-gu"
22050,"북구","403865","5685","199363","3137","204502","2548","Daegu","Buk-gu"
22060,"수성구","390924","4183","187480","2119","203444","2064","Daegu","Suseong-gu"
22070,"달서구","509670","6059","248583","3337","261087","2722","Daegu","Dalseo-gu"
22510,"달성군","247682","4070","124579","2263","123103","1807","Daegu","Dalseong-gun"
22520,"군위군","20510","487","10150","251","10360","236","Daegu","Gunwi-gun"
23010,"중구","156532","7304","80057","4051","76475","3253","Incheon","Jung-gu"
23020,"동구","56030","1544","27783","827","28247","717","Incheon","Dong-gu"
23040,"연수구","379949","8421","187077","4640","192872","3781","Incheon","Yeonsu-gu"
23050,"남동구","467026","12693","229775","6939","237251","5754","Incheon","Namdong-gu"
23060,"부평구","474225","14663","231295","7729","242930","6934","Incheon","Bupyeong-gu"
23070,"계양구","268430","7155","132343","3937","136087","3218","Incheon","Gyeyang-gu"
23080,"서구","606052","15810","302566","8905","303486","6905","Incheon","Seo-gu"
23090,"미추홀구","395855","14262","197756","7926","198099","6336","Incheon","Michuhol-gu"
23510,"강화군","62708","1571","31152","832","31556","739","Incheon","Ganghwa-gun"
23520,"옹진군","17850","1353","10045","953","7805","400","Incheon","Ongjin-gun"
24010,"동구","104883","2808","51612","1499","53271","1309","Gwangju","Dong-gu"
24020,"서구","271779","5703","132371","3072","139408","2631","Gwangju","Seo-gu"
24030,"남구","201899","3010","96597","1525","105302","1485","Gwangju","Nam-gu"
24040,"북구","414669","7666","203791","4215","210878","3451","Gwangju","Buk-gu"
24050,"광산구","382806","7499","191662","4269","191144","3230","Gwangju","Gwangsan-gu"
25010,"동구","213929","5279","107037","2946","106892","2333","Daejeon","Dong-gu"
25020,"중구","213568","4432","103995","2412","109573","2020","Daejeon","Jung-gu"
25030,"서구","444562","11105","217360","5829","227202","5276","Daejeon","Seo-gu"
25040,"유성구","357002","8122","180659","4739","176343","3383","Daejeon","Yuseong-gu"
25050,"대덕구","163048","3707","82144","2131","80904","1576","Daejeon","Daedeok-gu"
26010,"중구","198496","2607","99736","1424","98760","1183","Ulsan","Jung-gu"
26020,"남구","292835","6573","148692","3824","144143","2749","Ulsan","Nam-gu"
26030,"동구","144663","2565","74817","1560","69846","1005","Ulsan","Dong-gu"
26040,"북구","207819","2942","106629","1804","101190","1138","Ulsan","Buk-gu"
26510,"울주군","205917","4388","105690","2629","100227","1759","Ulsan","Ulju-gun"
29010,"세종시","374584","7787","185552","4305","189032","3482","Sejong City","Sejong City"
31010,"수원시","1146228","32758","571943","17511","574285","15247","Gyeonggi-do","Suwon-si"
31011,"장안구","262897","5775","130810","3091","132087","2684","Gyeonggi-do","Jangan-gu"
31012,"권선구","351112","10108","175868","5544","175244","4564","Gyeonggi-do","Gwonseon-gu"
31013,"팔달구","186532","7948","93042","4236","93490","3712","Gyeonggi-do","Paldal-gu"
31014,"영통구","345687","8927","172223","4640","173464","4287","Gyeonggi-do","Yeongtong-gu"
31020,"성남시","864507","20617","425155","10695","439352","9922","Gyeonggi-do","Seongnam-si"
31021,"수정구","225609","5678","113229","3059","112380","2619","Gyeonggi-do","Sujeong-gu"
31022,"중원구","199302","5712","99722","3057","99580","2655","Gyeonggi-do","Jungwon-gu"
31023,"분당구","439596","9227","212204","4579","227392","4648","Gyeonggi-do","Bundang-gu"
31030,"의정부시","440723","9878","214755","5234","225968","4644","Gyeonggi-do","Uijeongbu-si"
31040,"안양시","529089","12113","259222","6433","269867","5680","Gyeonggi-do","Anyang-si"
31041,"만안구","217796","5578","107791","3081","110005","2497","Gyeonggi-do","Manan-gu"
31042,"동안구","311293","6535","151431","3352","159862","3183","Gyeonggi-do","Dongan-gu"
31050,"부천시","741416","18294","363363","9574","378053","8720","Gyeonggi-do","Bucheon-si"
31060,"광명시","265183","5319","128833","2682","136350","2637","Gyeonggi-do","Gwangmyeong-si"
31070,"평택시","571587","23715","297610","14589","273977","9126","Gyeonggi-do","Pyeongtaek-si"
31080,"동두천시","81618","2407","40428","1369","41190","1038","Gyeonggi-do","Dongducheon-si"
31090,"안산시","599253","17684","303831","9837","295422","7847","Gyeonggi-do","Ansan-si"
31091,"상록구","314994","8493","159252","4726","155742","3767","Gyeonggi-do","Sangnok-gu"
31092,"단원구","284259","9191","144579","5111","139680","4080","Gyeonggi-do","Danwon-gu"
31100,"고양시","1009811","25285","488391","13368","521420","11917","Gyeonggi-do","Goyang-si"
31101,"덕양구","468523","12486","228437","6602","240086","5884","Gyeonggi-do","Deogyang-gu"
31103,"일산동구","275391","8031","132632","4304","142759","3727","Gyeonggi-do","Ilsandong-gu"
31104,"일산서구","265897","4768","127322","2462","138575","2306","Gyeonggi-do","Ilsanseo-gu"
31110,"과천시","80116","1031","38984","502","41132","529","Gyeonggi-do","Gwacheon-si"
31120,"구리시","178110","4091","87445","2171","90665","1920","Gyeonggi-do","Guri-si"
31130,"남양주시","694459","12810","341107","7020","353352","5790","Gyeonggi-do","Namyangju-si"
31140,"오산시","232775","7788","120322","4497","112453","3291","Gyeonggi-do","Osan-si"
31150,"시흥시","501239","14908","258859","8940","242380","5968","Gyeonggi-do","Siheung-si"
31160,"군포시","245830","5768","121214","3119","124616","2649","Gyeonggi-do","Gunpo-si"
31170,"의왕시","147685","2273","72766","1202","74919","1071","Gyeonggi-do","Uiwang-si"
31180,"하남시","314301","7046","155299","3835","159002","3211","Gyeonggi-do","Hanam-si"
31190,"용인시","1022578","22156","503985","11979","518593","10177","Gyeonggi-do","Yongin-si"
