sido_kr,sigungu_kr,sigungu_1_kr,sigungu_2_kr,sido_en,sigun_en,sigungu_1_en,sigungu_2_en,sdsgg_en,base_year,tax_exclude
서울특별시,종로구,종로구,종로구,Seoul,Jongno-gu,Jongno-gu,Jongno-gu,Jongno-gu Seoul,2020,
서울특별시,중구,중구,중구,Seoul,Jung-gu,Jung-gu,Jung-gu,Jung-gu Seoul,2020,
서울특별시,용산구,용산구,용산구,Seoul,Yongsan-gu,Yongsan-gu,Yongsan-gu,Yongsan-gu Seoul,2020,
서울특별시,성동구,성동구,성동구,Seoul,Seongdong-gu,Seongdong-gu,Seongdong-gu,Seongdong-gu Seoul,2020,
서울특별시,광진구,광진구,광진구,Seoul,Gwangjin-gu,Gwangjin-gu,Gwangjin-gu,Gwangjin-gu Seoul,2020,
서울특별시,동대문구,동대문구,동대문구,Seoul,Dongdaemun-gu,Dongdaemun-gu,Dongdaemun-gu,Dongdaemun-gu Seoul,2020,
서울특별시,중랑구,중랑구,중랑구,Seoul,Jungnang-gu,Jungnang-gu,Jungnang-gu,Jungnang-gu Seoul,2020,
서울특별시,성북구,성북구,성북구,Seoul,Seongbuk-gu,Seongbuk-gu,Seongbuk-gu,Seongbuk-gu Seoul,2020,
서울특별시,강북구,강북구,강북구,Seoul,Gangbuk-gu,Gangbuk-gu,Gangbuk-gu,Gangbuk-gu Seoul,2020,
서울특별시,도봉구,도봉구,도봉구,Seoul,Dobong-gu,Dobong-gu,Dobong-gu,Dobong-gu Seoul,2020,
서울특별시,노원구,노원구,노원구,Seoul,Nowon-gu,Nowon-gu,Nowon-gu,Nowon-gu Seoul,2020,
서울특별시,은평구,은평구,은평구,Seoul,Eunpyeong-gu,Eunpyeong-gu,Eunpyeong-gu,Eunpyeong-gu Seoul,2020,
서울특별시,서대문구,서대문구,서대문구,Seoul,Seodaemun-gu,Seodaemun-gu,Seodaemun-gu,Seodaemun-gu Seoul,2020,
서울특별시,마포구,마포구,마포구,Seoul,Mapo-gu,Mapo-gu,Mapo-gu,Mapo-gu Seoul,2020,
서울특별시,양천구,양천구,양천구,Seoul,Yangcheon-gu,Yangcheon-gu,Yangcheon-gu,Yangcheon-gu Seoul,2020,
