"value","adm1","adm2","adm2_code","year","unit","type","class1","class2"
4608010,"Seoul","Gangnam-gu",11230,2020,"million KRW","tax","income","labor"
419824,"Seoul","Gangdong-gu",11250,2020,"million KRW","tax","income","labor"
48292,"Seoul","Gangbuk-gu",11090,2020,"million KRW","tax","income","labor"
883552,"Seoul","Gangseo-gu",11160,2020,"million KRW","tax","income","labor"
172726,"Seoul","Gwanak-gu",11210,2020,"million KRW","tax","income","labor"
189493,"Seoul","Gwangjin-gu",11050,2020,"million KRW","tax","income","labor"
392689,"Seoul","Guro-gu",11170,2020,"million KRW","tax","income","labor"
487892,"Seoul","Geumcheon-gu",11180,2020,"million KRW","tax","income","labor"
115517,"Seoul","Nowon-gu",11110,2020,"million KRW","tax","income","labor"
60799,"Seoul","Dobong-gu",11100,2020,"million KRW","tax","income","labor"
196101,"Seoul","Dongdaemun-gu",11060,2020,"million KRW","tax","income","labor"
187735,"Seoul","Dongjak-gu",11200,2020,"million KRW","tax","income","labor"
783056,"Seoul","Mapo-gu",11140,2020,"million KRW","tax","income","labor"
304136,"Seoul","Seodaemun-gu",11130,2020,"million KRW","tax","income","labor"
2272505,"Seoul","Seocho-gu",11220,2020,"million KRW","tax","income","labor"
537686,"Seoul","Seongdong-gu",11040,2020,"million KRW","tax","income","labor"
176029,"Seoul","Seongbuk-gu",11080,2020,"million KRW","tax","income","labor"
1287042,"Seoul","Songpa-gu",11240,2020,"million KRW","tax","income","labor"
175601,"Seoul","Yangcheon-gu",11150,2020,"million KRW","tax","income","labor"
3753514,"Seoul","Yeongdeungpo-gu",11190,2020,"million KRW","tax","income","labor"
1390734,"Seoul","Yongsan-gu",11030,2020,"million KRW","tax","income","labor"
90201,"Seoul","Eunpyeong-gu",11120,2020,"million KRW","tax","income","labor"
2623529,"Seoul","Jongno-gu",11010,2020,"million KRW","tax","income","labor"
3064773,"Seoul","Jung-gu",11020,2020,"million KRW","tax","income","labor"
90336,"Seoul","Jungnang-gu",11070,2020,"million KRW","tax","income","labor"
25013,"Incheon","Ganghwa-gun",23510,2020,"million KRW","tax","income","labor"
93679,"Incheon","Gyeyang-gu",23070,2020,"million KRW","tax","income","labor"
140498,"Incheon","Michuhol-gu",23090,2020,"million KRW","tax","income","labor"
431034,"Incheon","Namdong-gu",23050,2020,"million KRW","tax","income","labor"
221681,"Incheon","Dong-gu",23020,2020,"million KRW","tax","income","labor"
277049,"Incheon","Bupyeong-gu",23060,2020,"million KRW","tax","income","labor"
380682,"Incheon","Seo-gu",23080,2020,"million KRW","tax","income","labor"
368479,"Incheon","Yeonsu-gu",23040,2020,"million KRW","tax","income","labor"
7283,"Incheon","Ongjin-gun",23520,2020,"million KRW","tax","income","labor"
166484,"Incheon","Jung-gu",23010,2020,"million KRW","tax","income","labor"
22324,"Gyeonggi-do","Gapyeong-gun",31570,2020,"million KRW","tax","income","labor"
410871,"Gyeonggi-do","Goyang-si",31100,2020,"million KRW","tax","income","labor"
151716,"Gyeonggi-do","Gwacheon-si",31110,2020,"million KRW","tax","income","labor"
240410,"Gyeonggi-do","Gwangmyeong-si",31060,2020,"million KRW","tax","income","labor"
211317,"Gyeonggi-do","Gwangju-si",31250,2020,"million KRW","tax","income","labor"
54952,"Gyeonggi-do","Guri-si",31120,2020,"million KRW","tax","income","labor"
160556,"Gyeonggi-do","Gunpo-si",31160,2020,"million KRW","tax","income","labor"
295960,"Gyeonggi-do","Gimpo-si",31230,2020,"million KRW","tax","income","labor"
219682,"Gyeonggi-do","Namyangju-si",31130,2020,"million KRW","tax","income","labor"
23480,"Gyeonggi-do","Dongducheon-si",31080,2020,"million KRW","tax","income","labor"
381813,"Gyeonggi-do","Bucheon-si",31050,2020,"million KRW","tax","income","labor"
2281902,"Gyeonggi-do","Seongnam-si",31020,2020,"million KRW","tax","income","labor"
3309303,"Gyeonggi-do","Suwon-si",31010,2020,"million KRW","tax","income","labor"
388130,"Gyeonggi-do","Siheung-si",31150,2020,"million KRW","tax","income","labor"
589153,"Gyeonggi-do","Ansan-si",31090,2020,"million KRW","tax","income","labor"
197447,"Gyeonggi-do","Anseong-si",31220,2020,"million KRW","tax","income","labor"
518998,"Gyeonggi-do","Anyang-si",31040,2020,"million KRW","tax","income","labor"
105556,"Gyeonggi-do","Yangju-si",31260,2020,"million KRW","tax","income","labor"
30470,"Gyeonggi-do","Yangpyeong-gun",31580,2020,"million KRW","tax","income","labor"
58291,"Gyeonggi-do","Yeoju-si",31280,2020,"million KRW","tax","income","labor"
16555,"Gyeonggi-do","Yeoncheon-gun",31550,2020,"million KRW","tax","income","labor"
104572,"Gyeonggi-do","Osan-si",31140,2020,"million KRW","tax","income","labor"
1438123,"Gyeonggi-do","Yongin-si",31190,2020,"million KRW","tax","income","labor"
94252,"Gyeonggi-do","Uiwang-si",31170,2020,"million KRW","tax","income","labor"
137984,"Gyeonggi-do","Uijeongbu-si",31030,2020,"million KRW","tax","income","labor"
828194,"Gyeonggi-do","Icheon-si",31210,2020,"million KRW","tax","income","labor"
242993,"Gyeonggi-do","Paju-si",31200,2020,"million KRW","tax","income","labor"
516084,"Gyeonggi-do","Pyeongtaek-si",31070,2020,"million KRW","tax","income","labor"
132444,"Gyeonggi-do","Pocheon-si",31270,2020,"million KRW","tax","income","labor"
152856,"Gyeonggi-do","Hanam-si",31180,2020,"million KRW","tax","income","labor"
1451518,"Gyeonggi-do","Hwaseong-si",31240,2020,"million KRW","tax","income","labor"
89290,"Gangwon-do","Gangneung-si",32030,2020,"million KRW","tax","income","labor"
9398,"Gangwon-do","Goseong-gun",32600,2020,"million KRW","tax","income","labor"
34352,"Gangwon-do","Donghae-si",32040,2020,"million KRW","tax","income","labor"
38110,"Gangwon-do","Samcheok-si",32070,2020,"million KRW","tax","income","labor"
21119,"Gangwon-do","Sokcho-si",32060,2020,"million KRW","tax","income","labor"
5816,"Gangwon-do","Yanggu-gun",32580,2020,"million KRW","tax","income","labor"
8648,"Gangwon-do","Yangyang-gun",32610,2020,"million KRW","tax","income","labor"
17476,"Gangwon-do","Yeongwol-gun",32530,2020,"million KRW","tax","income","labor"
184328,"Gangwon-do","Wonju-si",32020,2020,"million KRW","tax","income","labor"
7949,"Gangwon-do","Inje-gun",32590,2020,"million KRW","tax","income","labor"
29752,"Gangwon-do","Jeongseon-gun",32550,2020,"million KRW","tax","income","labor"
10310,"Gangwon-do","Cheorwon-gun",32560,2020,"million KRW","tax","income","labor"
199802,"Gangwon-do","Chuncheon-si",32010,2020,"million KRW","tax","income","labor"
16899,"Gangwon-do","Taebaek-si",32050,2020,"million KRW","tax","income","labor"
15900,"Gangwon-do","Pyeongchang-gun",32540,2020,"million KRW","tax","income","labor"
39396,"Gangwon-do","Hongcheon-gun",32510,2020,"million KRW","tax","income","labor"
6221,"Gangwon-do","Hwacheon-gun",32570,2020,"million KRW","tax","income","labor"
23237,"Gangwon-do","Hoengseong-gun",32520,2020,"million KRW","tax","income","labor"
260040,"Daejeon","Daedeok-gu",25050,2020,"million KRW","tax","income","labor"
190180,"Daejeon","Dong-gu",25010,2020,"million KRW","tax","income","labor"
292656,"Daejeon","Seo-gu",25030,2020,"million KRW","tax","income","labor"
474242,"Daejeon","Yuseong-gu",25040,2020,"million KRW","tax","income","labor"
111638,"Daejeon","Jung-gu",25020,2020,"million KRW","tax","income","labor"
24902,"Chungcheongbuk-do","Goesan-gun",33560,2020,"million KRW","tax","income","labor"
15145,"Chungcheongbuk-do","Danyang-gun",33580,2020,"million KRW","tax","income","labor"
16946,"Chungcheongbuk-do","Boeun-gun",33520,2020,"million KRW","tax","income","labor"
14941,"Chungcheongbuk-do","Yeongdong-gun",33540,2020,"million KRW","tax","income","labor"
20780,"Chungcheongbuk-do","Okcheon-gun",33530,2020,"million KRW","tax","income","labor"
161640,"Chungcheongbuk-do","Eumseong-gun",33570,2020,"million KRW","tax","income","labor"
50208,"Chungcheongbuk-do","Jecheon-si",33030,2020,"million KRW","tax","income","labor"
11468,"Chungcheongbuk-do","Jeungpyeong-gun",33590,2020,"million KRW","tax","income","labor"
126101,"Chungcheongbuk-do","Jincheon-gun",33550,2020,"million KRW","tax","income","labor"
598560,"Chungcheongbuk-do","Cheongju-si",33040,2020,"million KRW","tax","income","labor"
133660,"Chungcheongbuk-do","Chungju-si",33020,2020,"million KRW","tax","income","labor"
8833,"Chungcheongnam-do","Gyeryong-si",34070,2020,"million KRW","tax","income","labor"
87721,"Chungcheongnam-do","Gongju-si",34020,2020,"million KRW","tax","income","labor"
39535,"Chungcheongnam-do","Geumsan-gun",34510,2020,"million KRW","tax","income","labor"
47735,"Chungcheongnam-do","Nonsan-si",34060,2020,"million KRW","tax","income","labor"
159982,"Chungcheongnam-do","Dangjin-si",34080,2020,"million KRW","tax","income","labor"
51361,"Chungcheongnam-do","Boryeong-si",34030,2020,"million KRW","tax","income","labor"
20998,"Chungcheongnam-do","Buyeo-gun",34530,2020,"million KRW","tax","income","labor"
229670,"Chungcheongnam-do","Seosan-si",34050,2020,"million KRW","tax","income","labor"
22217,"Chungcheongnam-do","Seocheon-gun",34540,2020,"million KRW","tax","income","labor"
378464,"Chungcheongnam-do","Asan-si",34040,2020,"million KRW","tax","income","labor"
65289,"Chungcheongnam-do","Yesan-gun",34570,2020,"million KRW","tax","income","labor"
546710,"Chungcheongnam-do","Cheonan-si",34010,2020,"million KRW","tax","income","labor"
11522,"Chungcheongnam-do","Cheongyang-gun",34550,2020,"million KRW","tax","income","labor"
32828,"Chungcheongnam-do","Taean-gun",34580,2020,"million KRW","tax","income","labor"
82417,"Chungcheongnam-do","Hongseong-gun",34560,2020,"million KRW","tax","income","labor"
351855,"Sejong","Sejong-si",29010,2020,"million KRW","tax","income","labor"
220951,"Gwangju","Gwangsan-gu",24050,2020,"million KRW","tax","income","labor"
53449,"Gwangju","Nam-gu",24030,2020,"million KRW","tax","income","labor"
124811,"Gwangju","Dong-gu",24010,2020,"million KRW","tax","income","labor"
194307,"Gwangju","Buk-gu",24040,2020,"million KRW","tax","income","labor"
262289,"Gwangju","Seo-gu",24020,2020,"million KRW","tax","income","labor"
17592,"Jeollabuk-do","Gochang-gun",35570,2020,"million KRW","tax","income","labor"
126785,"Jeollabuk-do","Gunsan-si",35020,2020,"million KRW","tax","income","labor"
43091,"Jeollabuk-do","Gimje-si",35060,2020,"million KRW","tax","income","labor"
26026,"Jeollabuk-do","Namwon-si",35050,2020,"million KRW","tax","income","labor"
7770,"Jeollabuk-do","Muju-gun",35530,2020,"million KRW","tax","income","labor"
13968,"Jeollabuk-do","Buan-gun",35580,2020,"million KRW","tax","income","labor"
