"adm1","adm1_code","adm2","adm2_code","year","type","class1","class2","unit","value"
"Seoul",11,"Jongno-gu",11010,2015,"housing","vacant housing","fraction","percent",2.8
"Seoul",11,"Jongno-gu",11010,2015,"housing","vacant housing","number of vacant housing","count",1216
"Seoul",11,"Jongno-gu",11010,2015,"housing","vacant housing","total number of housing","count",43550
"Seoul",11,"Jung-gu",11020,2015,"housing","vacant housing","fraction","percent",1.9
"Seoul",11,"Jung-gu",11020,2015,"housing","vacant housing","number of vacant housing","count",727
"Seoul",11,"Jung-gu",11020,2015,"housing","vacant housing","total number of housing","count",37478
"Seoul",11,"Yongsan-gu",11030,2015,"housing","vacant housing","fraction","percent",7.3
"Seoul",11,"Yongsan-gu",11030,2015,"housing","vacant housing","number of vacant housing","count",5136
"Seoul",11,"Yongsan-gu",11030,2015,"housing","vacant housing","total number of housing","count",70723
"Seoul",11,"Seongdong-gu",11040,2015,"housing","vacant housing","fraction","percent",4.5
"Seoul",11,"Seongdong-gu",11040,2015,"housing","vacant housing","number of vacant housing","count",3680
"Seoul",11,"Seongdong-gu",11040,2015,"housing","vacant housing","total number of housing","count",82331
"Seoul",11,"Gwangjin-gu",11050,2015,"housing","vacant housing","fraction","percent",0.8
"Seoul",11,"Gwangjin-gu",11050,2015,"housing","vacant housing","number of vacant housing","count",669
"Seoul",11,"Gwangjin-gu",11050,2015,"housing","vacant housing","total number of housing","count",79393
"Seoul",11,"Dongdaemun-gu",11060,2015,"housing","vacant housing","fraction","percent",3.9
"Seoul",11,"Dongdaemun-gu",11060,2015,"housing","vacant housing","number of vacant housing","count",3839
"Seoul",11,"Dongdaemun-gu",11060,2015,"housing","vacant housing","total number of housing","count",98203
"Seoul",11,"Jungnang-gu",11070,2015,"housing","vacant housing","fraction","percent",1.5
"Seoul",11,"Jungnang-gu",11070,2015,"housing","vacant housing","number of vacant housing","count",1454
"Seoul",11,"Jungnang-gu",11070,2015,"housing","vacant housing","total number of housing","count",99265
"Seoul",11,"Seongbuk-gu",11080,2015,"housing","vacant housing","fraction","percent",1.7
"Seoul",11,"Seongbuk-gu",11080,2015,"housing","vacant housing","number of vacant housing","count",2168
"Seoul",11,"Seongbuk-gu",11080,2015,"housing","vacant housing","total number of housing","count",128046
"Seoul",11,"Gangbuk-gu",11090,2015,"housing","vacant housing","fraction","percent",2.1
"Seoul",11,"Gangbuk-gu",11090,2015,"housing","vacant housing","number of vacant housing","count",1887
"Seoul",11,"Gangbuk-gu",11090,2015,"housing","vacant housing","total number of housing","count",91806
"Seoul",11,"Dobong-gu",11100,2015,"housing","vacant housing","fraction","percent",1.8
"Seoul",11,"Dobong-gu",11100,2015,"housing","vacant housing","number of vacant housing","count",1889
"Seoul",11,"Dobong-gu",11100,2015,"housing","vacant housing","total number of housing","count",102443
"Seoul",11,"Nowon-gu",11110,2015,"housing","vacant housing","fraction","percent",2
"Seoul",11,"Nowon-gu",11110,2015,"housing","vacant housing","number of vacant housing","count",3790
"Seoul",11,"Nowon-gu",11110,2015,"housing","vacant housing","total number of housing","count",186626
"Seoul",11,"Eunpyeong-gu",11120,2015,"housing","vacant housing","fraction","percent",2.4
"Seoul",11,"Eunpyeong-gu",11120,2015,"housing","vacant housing","number of vacant housing","count",3307
"Seoul",11,"Eunpyeong-gu",11120,2015,"housing","vacant housing","total number of housing","count",140330
"Seoul",11,"Seodaemun-gu",11130,2015,"housing","vacant housing","fraction","percent",7.5
"Seoul",11,"Seodaemun-gu",11130,2015,"housing","vacant housing","number of vacant housing","count",7007
"Seoul",11,"Seodaemun-gu",11130,2015,"housing","vacant housing","total number of housing","count",92885
"Seoul",11,"Mapo-gu",11140,2015,"housing","vacant housing","fraction","percent",3.2
"Seoul",11,"Mapo-gu",11140,2015,"housing","vacant housing","number of vacant housing","count",3767
"Seoul",11,"Mapo-gu",11140,2015,"housing","vacant housing","total number of housing","count",116135
"Seoul",11,"Yangcheon-gu",11150,2015,"housing","vacant housing","fraction","percent",1.6
"Seoul",11,"Yangcheon-gu",11150,2015,"housing","vacant housing","number of vacant housing","count",2199
"Seoul",11,"Yangcheon-gu",11150,2015,"housing","vacant housing","total number of housing","count",134097
"Seoul",11,"Gangseo-gu",11160,2015,"housing","vacant housing","fraction","percent",3.1
"Seoul",11,"Gangseo-gu",11160,2015,"housing","vacant housing","number of vacant housing","count",5510
"Seoul",11,"Gangseo-gu",11160,2015,"housing","vacant housing","total number of housing","count",179045
"Seoul",11,"Guro-gu",11170,2015,"housing","vacant housing","fraction","percent",1.8
"Seoul",11,"Guro-gu",11170,2015,"housing","vacant housing","number of vacant housing","count",2138
"Seoul",11,"Guro-gu",11170,2015,"housing","vacant housing","total number of housing","count",118047
"Seoul",11,"Geumcheon-gu",11180,2015,"housing","vacant housing","fraction","percent",0.7
"Seoul",11,"Geumcheon-gu",11180,2015,"housing","vacant housing","number of vacant housing","count",397
"Seoul",11,"Geumcheon-gu",11180,2015,"housing","vacant housing","total number of housing","count",57096
"Seoul",11,"Yeongdeungpo-gu",11190,2015,"housing","vacant housing","fraction","percent",2.1
"Seoul",11,"Yeongdeungpo-gu",11190,2015,"housing","vacant housing","number of vacant housing","count",2046
"Seoul",11,"Yeongdeungpo-gu",11190,2015,"housing","vacant housing","total number of housing","count",96195
"Seoul",11,"Dongjak-gu",11200,2015,"housing","vacant housing","fraction","percent",1.3
"Seoul",11,"Dongjak-gu",11200,2015,"housing","vacant housing","number of vacant housing","count",1441
"Seoul",11,"Dongjak-gu",11200,2015,"housing","vacant housing","total number of housing","count",109362
"Seoul",11,"Gwanak-gu",11210,2015,"housing","vacant housing","fraction","percent",0.8
"Seoul",11,"Gwanak-gu",11210,2015,"housing","vacant housing","number of vacant housing","count",946
"Seoul",11,"Gwanak-gu",11210,2015,"housing","vacant housing","total number of housing","count",121277
"Seoul",11,"Seocho-gu",11220,2015,"housing","vacant housing","fraction","percent",2.7
"Seoul",11,"Seocho-gu",11220,2015,"housing","vacant housing","number of vacant housing","count",3362
"Seoul",11,"Seocho-gu",11220,2015,"housing","vacant housing","total number of housing","count",125403
"Seoul",11,"Gangnam-gu",11230,2015,"housing","vacant housing","fraction","percent",6.7
"Seoul",11,"Gangnam-gu",11230,2015,"housing","vacant housing","number of vacant housing","count",11764
