"year","sggcd","type","class1","class2","unit","value"
2010,"4200002","environment","organic_matter","discharge","kg_day",4068
2010,"4200003","environment","organic_matter","discharge","kg_day",139
2010,"4200004","environment","organic_matter","discharge","kg_day",869
2010,"4200005","environment","organic_matter","discharge","kg_day",102
2010,"4200006","environment","organic_matter","discharge","kg_day",395
2010,"4200007","environment","organic_matter","discharge","kg_day",64
2010,"4200008","environment","organic_matter","discharge","kg_day",76
2010,"4200009","environment","organic_matter","discharge","kg_day",81
2010,"4200010","environment","organic_matter","discharge","kg_day",81
2010,"4200011","environment","organic_matter","discharge","kg_day",57
2010,"4200012","environment","organic_matter","discharge","kg_day",96
2010,"4200013","environment","organic_matter","discharge","kg_day",109
2010,"4200014","environment","organic_matter","discharge","kg_day",54
2010,"4200015","environment","organic_matter","discharge","kg_day",56
2010,"4200016","environment","organic_matter","discharge","kg_day",87
2010,"4200017","environment","organic_matter","discharge","kg_day",85
2010,"4200018","environment","organic_matter","discharge","kg_day",190
2010,"4200019","environment","organic_matter","discharge","kg_day",129
2010,"4200020","environment","organic_matter","discharge","kg_day",228
2010,"4200021","environment","organic_matter","discharge","kg_day",282
2010,"4200022","environment","organic_matter","discharge","kg_day",45
2010,"4200023","environment","organic_matter","discharge","kg_day",66
2010,"4200024","environment","organic_matter","discharge","kg_day",174
2010,"4200025","environment","organic_matter","discharge","kg_day",267
2010,"4200026","environment","organic_matter","discharge","kg_day",191
2010,"4200027","environment","organic_matter","discharge","kg_day",145
2010,"4200029","environment","organic_matter","discharge","kg_day",2210
2010,"4200030","environment","organic_matter","discharge","kg_day",7
2010,"4200031","environment","organic_matter","discharge","kg_day",53
2010,"4200032","environment","organic_matter","discharge","kg_day",26
2010,"4200033","environment","organic_matter","discharge","kg_day",62
2010,"4200034","environment","organic_matter","discharge","kg_day",90
2010,"4200035","environment","organic_matter","discharge","kg_day",60
2010,"4200036","environment","organic_matter","discharge","kg_day",98
2010,"4200037","environment","organic_matter","discharge","kg_day",55
2010,"4200038","environment","organic_matter","discharge","kg_day",97
2010,"4200039","environment","organic_matter","discharge","kg_day",477
2010,"4200040","environment","organic_matter","discharge","kg_day",111
2010,"4200041","environment","organic_matter","discharge","kg_day",314
2010,"4200042","environment","organic_matter","discharge","kg_day",49
2010,"4200043","environment","organic_matter","discharge","kg_day",49
2010,"4200044","environment","organic_matter","discharge","kg_day",523
2010,"4200045","environment","organic_matter","discharge","kg_day",139
2010,"4200047","environment","organic_matter","discharge","kg_day",2286
2010,"4200048","environment","organic_matter","discharge","kg_day",31
2010,"4200049","environment","organic_matter","discharge","kg_day",165
2010,"4200050","environment","organic_matter","discharge","kg_day",415
2010,"4200051","environment","organic_matter","discharge","kg_day",58
2010,"4200052","environment","organic_matter","discharge","kg_day",581
2010,"4200053","environment","organic_matter","discharge","kg_day",147
2010,"4200054","environment","organic_matter","discharge","kg_day",623
2010,"4200055","environment","organic_matter","discharge","kg_day",266
2010,"4200057","environment","organic_matter","discharge","kg_day",2870
2010,"4200058","environment","organic_matter","discharge","kg_day",133
2010,"4200059","environment","organic_matter","discharge","kg_day",55
2010,"4200060","environment","organic_matter","discharge","kg_day",250
2010,"4200061","environment","organic_matter","discharge","kg_day",70
2010,"4200062","environment","organic_matter","discharge","kg_day",1035
2010,"4200063","environment","organic_matter","discharge","kg_day",329
2010,"4200064","environment","organic_matter","discharge","kg_day",120
2010,"4200065","environment","organic_matter","discharge","kg_day",805
2010,"4200066","environment","organic_matter","discharge","kg_day",47
2010,"4200067","environment","organic_matter","discharge","kg_day",26
2010,"4200069","environment","organic_matter","discharge","kg_day",1106
2010,"4200070","environment","organic_matter","discharge","kg_day",72
2010,"4200071","environment","organic_matter","discharge","kg_day",161
2010,"4200072","environment","organic_matter","discharge","kg_day",106
2010,"4200073","environment","organic_matter","discharge","kg_day",285
2010,"4200074","environment","organic_matter","discharge","kg_day",482
2010,"4200076","environment","organic_matter","discharge","kg_day",1056
2010,"4200077","environment","organic_matter","discharge","kg_day",154
2010,"4200078","environment","organic_matter","discharge","kg_day",146
2010,"4200079","environment","organic_matter","discharge","kg_day",161
2010,"4200080","environment","organic_matter","discharge","kg_day",225
2010,"4200081","environment","organic_matter","discharge","kg_day",370
2010,"4200083","environment","organic_matter","discharge","kg_day",922
2010,"4200084","environment","organic_matter","discharge","kg_day",61
2010,"4200085","environment","organic_matter","discharge","kg_day",343
2010,"4200086","environment","organic_matter","discharge","kg_day",38
2010,"4200087","environment","organic_matter","discharge","kg_day",115
2010,"4200088","environment","organic_matter","discharge","kg_day",365
2010,"4200092","environment","organic_matter","discharge","kg_day",13731
2010,"4200093","environment","organic_matter","discharge","kg_day",101
2010,"4200094","environment","organic_matter","discharge","kg_day",195
2010,"4200095","environment","organic_matter","discharge","kg_day",64
2010,"4200096","environment","organic_matter","discharge","kg_day",126
2010,"4200098","environment","organic_matter","discharge","kg_day",53
2010,"4200099","environment","organic_matter","discharge","kg_day",196
2010,"4200100","environment","organic_matter","discharge","kg_day",90
2010,"4200101","environment","organic_matter","discharge","kg_day",169
2010,"4200102","environment","organic_matter","discharge","kg_day",109
2010,"4200103","environment","organic_matter","discharge","kg_day",139
2010,"4200104","environment","organic_matter","discharge","kg_day",302
2010,"4200105","environment","organic_matter","discharge","kg_day",61
2010,"4200106","environment","organic_matter","discharge","kg_day",351
2010,"4200108","environment","organic_matter","discharge","kg_day",66
2010,"4200109","environment","organic_matter","discharge","kg_day",623
2010,"4200110","environment","organic_matter","discharge","kg_day",144
2010,"4200112","environment","organic_matter","discharge","kg_day",1415
2010,"4200113","environment","organic_matter","discharge","kg_day",160
2010,"4200115","environment","organic_matter","discharge","kg_day",161
